Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,104950434.05395508,104950438.05395508
Z3-L07,ok,Track,192.168.123.234,-6,104986687.06640625,104986691.06640625
Z4-L08,ok,Track,192.168.123.154,-9,88247789.07104492,88247795.07104492
Z2-L08,ok,Track,192.168.123.213,-9,104933552.0756836,104933554.0756836
Z1-L13,ok,Track,192.168.123.218,-9,104951162.07983398,104951067.07983398
Z1-L05,ok,Track,192.168.123.152,-9,77926535.0834961,77926540.0834961
Z3-L09,ok,Track,192.168.123.173,-9,77926333.08740234,77926338.08740234
Z3-L10,ok,Track,192.168.123.242,-9,107599488.09106445,105038111.09106445
Z3-L06,ok,Track,192.168.123.236,-6,105690404.0949707,105690407.0949707
Z4-L07,ok,Track,192.168.123.178,-9,88972369.09887695,88957345.09887695
Z4-L03,ok,Track,192.168.123.225,-9,105034708.10229492,105033236.10229492
Z2-L01,ok,Track,192.168.123.247,-9,78042986.10620117,78042991.10620117
Z1-L12,ok,Track,192.168.123.209,-9,105022757.11132812,105022768.11132812
Z1-L04,ok,Track,192.168.123.176,-9,77985953.11499023,77985958.11499023
Z4-L05,ok,Track,192.168.123.235,-9,78054988.11889648,78054995.11889648
Z4-L04,ok,Track,192.168.123.239,-9,89877868.1225586,89877872.1225586
Z4-L01,ok,Track,192.168.123.186,-9,105649964.1262207,105030632.1262207
Z1-L03,ok,Track,192.168.123.163,-9,5990314.130126953,5250718.130126953
Z5-L03,ok,Track,192.168.123.198,-6,90172991.13500977,90172996.13500977
Z1-L07,ok,Track,192.168.123.181,-9,78931157.13891602,78056986.13891602
Z1-L08,ok,Track,192.168.123.189,-9,25684163.142578125,26860399.142578125
Z3-L03,ok,Track,192.168.123.167,-9,77926736.14648438,77926746.14648438
Z3-L04,ok,Track,192.168.123.212,-9,77932539.15039062,77932545.15039062
Z2-L03,ok,Track,192.168.123.196,-9,78929144.1538086,78929149.1538086
Z1-L11,ok,Track,192.168.123.184,-9,77926221.1574707,77926229.1574707
Z3-L02,ok,Track,192.168.123.161,-6,77926737.16137695,77926746.16137695
Z2-L06,ok,Track,192.168.123.245,-9,102309701.16479492,102309709.16479492
Z5-L02,ok,Track,192.168.123.244,-6,78047967.16870117,78047990.16870117
Z2-L07,ok,Track,192.168.123.229,-9,104932924.17358398,104932927.17358398
Z3-L11,ok,Track,192.168.123.201,-9,77995962.17749023,77995967.17749023
Z1-L10,ok,Track,192.168.123.246,-9,104959909.18115234,104959916.18115234
Z4-L02,ok,Track,192.168.123.240,-9,89969841.18481445,89969851.18481445
Z3-L01,ok,Track,192.168.123.228,-6,77926008.18847656,77926017.18847656
Z5-L01,ok,Track,192.168.123.248,-6,78047959.19238281,78047990.19238281
Z1-L09,ok,Track,192.168.123.191,-9,534482.1958007812,534488.1958007812
Z2-L09,ok,Track,192.168.123.221,-9,82755225.20141602,82620935.20141602
Z3-L05,ok,Track,192.168.123.224,-6,105653454.20507812,105653463.20507812
Z5-L04,ok,Track,192.168.123.226,-6,93819706.20898438,93819709.20898438
Z2-L02,ok,Track,192.168.123.215,-9,104959391.21289062,104958882.21289062
Z4-L09,ok,Track,192.168.123.168,-9,93214134.21655273,88045565.21655273
Z1-L14,ok,Track,192.168.123.227,-9,102024489.22021484,102024493.22021484
Z4-L11,ok,Track,192.168.123.185,-9,85337046.22387695,85337054.22387695
Z2-L04,ok,Track,192.168.123.190,-9,104929763.22753906,104925732.22753906
Z2-L05,ok,Track,192.168.123.217,-9,78043990.23144531,78043996.23144531
Z4-L06,ok,Track,192.168.123.249,-9,85338038.23632812,85338046.23632812
Z3-L12,ok,Track,192.168.123.238,-9,103884847.23999023,103884854.23999023
