Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609356976433.3535,1609356976433.3535
Z4-L08,ok,Track,192.168.123.154,-9,1609356976433.3674,1609356976433.3674
Z2-L08,ok,Track,192.168.123.156,-9,1609356976433.3728,1609356976433.3728
Z1-L13,ok,Track,192.168.123.165,-9,1609356976433.377,1609356976433.377
Z1-L05,ok,Track,192.168.123.152,-9,1609356976433.3813,1609356976433.3813
Z3-L09,ok,Track,192.168.123.173,-9,1609356976433.3853,1609356976433.3853
Z3-L10,ok,Track,192.168.123.225,-9,1609356976433.3894,1609356976433.3894
Z4-L03,waiting,Track,None,-9,1609356976433.3933,1609356976433.3933
Z4-L07,ok,Track,192.168.123.178,-9,1609356976433.3992,1609356976433.3992
Z1-L12,ok,Track,192.168.123.237,-9,1609356976433.4036,1609356976433.4036
Z1-L10,waiting,Track,None,-9,1609356976433.4072,1609356976433.4072
Z1-L04,ok,Track,192.168.123.176,-9,1609356976433.4116,1609356976433.4116
Z4-L05,waiting,Track,None,-9,1609356976433.4158,1609356976433.4158
Z4-L04,waiting,Track,None,-9,1609356976433.4194,1609356976433.4194
Z4-L01,waiting,Track,None,-9,1609356976433.4236,1609356976433.4236
Z1-L03,ok,Track,192.168.123.163,-9,1609356976433.4277,1609356976433.4277
Z1-L01,ok,Track,192.168.123.198,-9,1609356976433.4316,1609356976433.4316
Z1-L07,ok,Track,192.168.123.181,-9,1609356976433.4355,1609356976433.4355
Z1-L08,ok,Track,192.168.123.189,-9,1609356976433.4392,1609356976433.4392
Z3-L03,ok,Track,192.168.123.167,-9,1609356976433.4434,1609356976433.4434
Z3-L04,ok,Track,192.168.123.212,-9,1609356976433.447,1609356976433.447
Z2-L03,ok,Track,192.168.123.196,-9,1609356976433.4507,1609356976433.4507
Z1-L11,ok,Track,192.168.123.184,-9,1609356976433.4565,1609356976433.4565
Z3-L02,ok,Track,192.168.123.161,-9,1609356976433.4602,1609356976433.4602
Z2-L06,ok,Track,192.168.123.245,-9,1609356976433.464,1609356976433.464
Z1-L02,ok,Track,192.168.123.201,-9,1609356976433.468,1609356976433.468
Z2-L07,ok,Track,192.168.123.230,-9,1609356976433.472,1609356976433.472
Z4-L02,waiting,Track,None,-9,1609356976433.4758,1609356976433.4758
Z3-L01,ok,Track,192.168.123.228,-9,1609356976433.48,1609356976433.48
Z1-L09,ok,Track,192.168.123.191,-9,1609356976433.484,1609356976433.484
Z2-L09,ok,Moved,192.168.123.221,-9,1609356976433.4878,1609356976433.4878
Z2-L02,ok,Track,192.168.123.215,-9,1609356976433.4917,1609356976433.4917
Z4-L09,ok,Track,192.168.123.168,-9,1609356976433.4956,1609356976433.4956
Z1-L14,ok,Track,192.168.123.227,-9,1609356976433.4993,1609356976433.4993
Z2-L01,waiting,Track,None,-9,1609356976433.5032,1609356976433.5032
Z3-L11,waiting,Track,None,-9,1609356976433.5088,1609356976433.5088
Z4-L11,ok,Track,192.168.123.185,-9,1609356976433.513,1609356976433.513
Z2-L04,ok,Track,192.168.123.190,-9,1609356976433.5168,1609356976433.5168
Z2-L05,ok,Track,192.168.123.204,-9,1609356976433.5205,1609356976433.5205
Z4-L06,waiting,Track,None,-9,1609356976433.5244,1609356976433.5244
Z3-L12,ok,Track,192.168.123.193,-9,1609356976433.5283,1609356976433.5283
