Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609180095283.005,1609180095283.005
Z4-L08,ok,Track,192.168.123.154,-9,1609180095283.0295,1609180095283.0295
Z2-L08,ok,Track,192.168.123.156,-9,1609180095283.041,1609180095283.041
Z1-L13,ok,Track,192.168.123.165,-9,1609180095283.0518,1609180095283.0518
Z1-L05,ok,Track,192.168.123.152,-9,1609180095283.0618,1609180095283.0618
Z3-L09,ok,Track,192.168.123.173,-9,1609180095283.0679,1609180095283.0679
Z3-L10,ok,Track,192.168.123.225,-9,1609180095283.0732,1609180095283.0732
Z4-L03,waiting,Track,None,-9,1609180095283.079,1609180095283.079
Z4-L07,ok,Track,192.168.123.178,-9,1609180095283.0881,1609180095283.0881
Z1-L12,ok,Track,192.168.123.237,-9,1609180095283.0933,1609180095283.0933
Z1-L10,waiting,Track,None,-9,1609180095283.0984,1609180095283.0984
Z1-L04,ok,Track,192.168.123.176,-9,1609180095283.104,1609180095283.104
Z4-L05,waiting,Track,None,-9,1609180095283.1094,1609180095283.1094
Z4-L04,waiting,Track,None,-9,1609180095283.115,1609180095283.115
Z4-L01,waiting,Track,None,-9,1609180095283.12,1609180095283.12
Z1-L03,ok,Track,192.168.123.163,-9,1609180095283.1252,1609180095283.1252
Z1-L01,ok,Track,192.168.123.198,-9,1609180095283.1304,1609180095283.1304
Z1-L07,ok,Track,192.168.123.181,-9,1609180095283.1353,1609180095283.1353
Z1-L08,ok,Track,192.168.123.189,-9,1609180095283.1418,1609180095283.1418
Z3-L03,ok,Track,192.168.123.167,-9,1609180095283.1477,1609180095283.1477
Z3-L04,ok,Track,192.168.123.212,-9,1609180095283.1526,1609180095283.1526
Z2-L03,ok,Track,192.168.123.196,-9,1609180095283.1572,1609180095283.1572
Z1-L11,ok,Track,192.168.123.184,-9,1609180095283.162,1609180095283.162
Z3-L02,ok,Track,192.168.123.161,-9,1609180095283.1677,1609180095283.1677
Z2-L06,ok,Track,192.168.123.245,-9,1609180095283.1724,1609180095283.1724
Z1-L02,ok,Track,192.168.123.201,-9,1609180095283.1772,1609180095283.1772
Z2-L07,ok,Track,192.168.123.230,-9,1609180095283.182,1609180095283.182
Z4-L02,waiting,Track,None,-9,1609180095283.1865,1609180095283.1865
Z3-L01,ok,Track,192.168.123.228,-9,1609180095283.1912,1609180095283.1912
Z1-L09,ok,Track,192.168.123.191,-9,1609180095283.196,1609180095283.196
Z2-L09,ok,Moved,192.168.123.221,-9,1609180095283.2004,1609180095283.2004
Z2-L02,ok,Track,192.168.123.215,-9,1609180095283.205,1609180095283.205
Z4-L09,ok,Track,192.168.123.168,-9,1609180095283.2097,1609180095283.2097
Z1-L14,ok,Track,192.168.123.227,-9,1609180095283.2144,1609180095283.2144
Z2-L01,waiting,Track,None,-9,1609180095283.2188,1609180095283.2188
Z3-L11,waiting,Track,None,-9,1609180095283.2256,1609180095283.2256
Z4-L11,ok,Track,192.168.123.185,-9,1609180095283.2307,1609180095283.2307
Z2-L04,ok,Track,192.168.123.190,-9,1609180095283.2354,1609180095283.2354
Z2-L05,ok,Track,192.168.123.204,-9,1609180095283.2395,1609180095283.2395
Z4-L06,waiting,Track,None,-9,1609180095283.2444,1609180095283.2444
Z3-L12,ok,Track,192.168.123.193,-9,1609180095283.249,1609180095283.249
