Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608760869344.0005,1608760869344.0005
Z4-L08,ok,Track,192.168.123.154,-9,1608760869344.0142,1608760869344.0142
Z2-L08,ok,Track,192.168.123.156,-9,1608760869344.0183,1608760869344.0183
Z1-L13,ok,Track,192.168.123.165,-9,1608760869344.0217,1608760869344.0217
Z1-L05,ok,Track,192.168.123.152,-9,1608760869344.0254,1608760869344.0254
Z3-L09,ok,Track,192.168.123.173,-9,1608760869344.0288,1608760869344.0288
Z3-L10,ok,Track,192.168.123.225,-9,1608760869344.032,1608760869344.032
Z4-L03,waiting,Track,None,-9,1608760869344.0354,1608760869344.0354
Z4-L07,ok,Track,192.168.123.178,-9,1608760869344.0408,1608760869344.0408
Z1-L12,ok,Track,192.168.123.237,-9,1608760869344.0442,1608760869344.0442
Z1-L10,waiting,Track,None,-9,1608760869344.0476,1608760869344.0476
Z1-L04,ok,Track,192.168.123.176,-9,1608760869344.051,1608760869344.051
Z4-L05,waiting,Track,None,-9,1608760869344.0544,1608760869344.0544
Z4-L04,waiting,Track,None,-9,1608760869344.058,1608760869344.058
Z4-L01,waiting,Track,None,-9,1608760869344.0615,1608760869344.0615
Z1-L03,ok,Track,192.168.123.163,-9,1608760869344.0652,1608760869344.0652
Z1-L01,ok,Track,192.168.123.198,-9,1608760869344.0686,1608760869344.0686
Z1-L07,ok,Track,192.168.123.181,-9,1608760869344.0715,1608760869344.0715
Z1-L08,ok,Track,192.168.123.189,-9,1608760869344.075,1608760869344.075
Z3-L03,ok,Track,192.168.123.167,-9,1608760869344.0784,1608760869344.0784
Z3-L04,ok,Track,192.168.123.212,-9,1608760869344.0815,1608760869344.0815
Z2-L03,ok,Track,192.168.123.196,-9,1608760869344.0862,1608760869344.0862
Z1-L11,ok,Track,192.168.123.184,-9,1608760869344.0896,1608760869344.0896
Z3-L02,ok,Track,192.168.123.161,-9,1608760869344.0928,1608760869344.0928
Z2-L06,ok,Track,192.168.123.245,-9,1608760869344.0962,1608760869344.0962
Z1-L02,ok,Track,192.168.123.201,-9,1608760869344.0996,1608760869344.0996
Z2-L07,ok,Track,192.168.123.230,-9,1608760869344.1028,1608760869344.1028
Z4-L02,waiting,Track,None,-9,1608760869344.1062,1608760869344.1062
Z3-L01,ok,Track,192.168.123.228,-9,1608760869344.1099,1608760869344.1099
Z1-L09,ok,Track,192.168.123.191,-9,1608760869344.113,1608760869344.113
Z2-L09,ok,Moved,192.168.123.221,-9,1608760869344.1165,1608760869344.1165
Z2-L02,ok,Track,192.168.123.215,-9,1608760869344.1199,1608760869344.1199
Z4-L09,ok,Track,192.168.123.168,-9,1608760869344.123,1608760869344.123
Z1-L14,ok,Track,192.168.123.227,-9,1608760869344.1265,1608760869344.1265
Z2-L01,waiting,Track,None,-9,1608760869344.13,1608760869344.13
Z3-L11,waiting,Track,None,-9,1608760869344.1345,1608760869344.1345
Z4-L11,ok,Track,192.168.123.185,-9,1608760869344.1382,1608760869344.1382
Z2-L04,ok,Track,192.168.123.190,-9,1608760869344.1416,1608760869344.1416
Z2-L05,ok,Track,192.168.123.204,-9,1608760869344.1448,1608760869344.1448
Z4-L06,waiting,Track,None,-9,1608760869344.1482,1608760869344.1482
Z3-L12,ok,Track,192.168.123.193,-9,1608760869344.1516,1608760869344.1516
