Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,3356937.2265625,3263127.2265625
Z3-L07,ok,Track,192.168.123.234,-6,3287480.2407226562,3287296.2407226562
Z4-L08,ok,Track,192.168.123.154,-9,3343019.246826172,3341840.246826172
Z2-L08,ok,Track,192.168.123.213,-9,3379920.2514648438,3355617.2514648438
Z1-L13,ok,Track,192.168.123.218,-9,3194229.2561035156,3194235.2561035156
Z1-L05,ok,Track,192.168.123.152,-9,3225077.260498047,3225080.260498047
Z3-L09,ok,Track,192.168.123.173,-9,3232843.2651367188,3232851.2651367188
Z3-L10,ok,Track,192.168.123.242,-9,3313763.2692871094,3313658.2692871094
Z3-L06,ok,Track,192.168.123.236,-6,3281169.2736816406,3281172.2736816406
Z4-L07,ok,Track,192.168.123.178,-9,3309771.278076172,3309785.278076172
Z4-L03,ok,Track,192.168.123.225,-9,3308244.282470703,3308259.282470703
Z2-L01,ok,Track,192.168.123.247,-9,3232056.2866210938,3232068.2866210938
Z1-L12,ok,Track,192.168.123.209,-9,3278107.2912597656,3258152.2912597656
Z1-L04,ok,Track,192.168.123.176,-9,3215917.2954101562,3215927.2954101562
Z4-L05,ok,Track,192.168.123.235,-9,3303933.300048828,3303953.300048828
Z4-L04,ok,Track,192.168.123.239,-9,3276893.3041992188,3275683.3041992188
Z4-L01,ok,Track,192.168.123.186,-9,3236300.30859375,3236314.30859375
Z1-L03,ok,Track,192.168.123.163,-9,3206753.3127441406,3198277.3127441406
Z5-L03,ok,Track,192.168.123.198,-6,3365404.3173828125,3359704.3173828125
Z1-L07,ok,Track,192.168.123.181,-9,3208280.322265625,3208287.322265625
Z1-L08,ok,Track,192.168.123.189,-9,3238634.3264160156,3228410.3264160156
Z3-L03,ok,Track,192.168.123.167,-9,3245563.3310546875,3245571.3310546875
Z3-L04,ok,Track,192.168.123.212,-9,3272945.335205078,3248651.335205078
Z2-L03,ok,Track,192.168.123.196,-9,3232542.3395996094,3232552.3395996094
Z1-L11,ok,Track,192.168.123.184,-9,3156429.3452148438,3156434.3452148438
Z3-L02,ok,Track,192.168.123.161,-6,3224875.349609375,3224880.349609375
Z2-L06,ok,Track,192.168.123.245,-9,3328543.3537597656,3328557.3537597656
Z5-L02,ok,Track,192.168.123.244,-6,3234187.358642578,3234195.358642578
Z2-L07,ok,Track,192.168.123.229,-9,3217128.3627929688,3159474.3627929688
Z3-L11,ok,Track,192.168.123.201,-9,3227984.3669433594,3227995.3669433594
Z1-L10,ok,Track,192.168.123.246,-9,3237299.37109375,3237314.37109375
Z4-L02,ok,Track,192.168.123.240,-9,3278937.375,3278951.375
Z3-L01,ok,Track,192.168.123.228,-6,3215614.3793945312,3215622.3793945312
Z5-L01,ok,Track,192.168.123.248,-6,3234794.383544922,3234801.383544922
Z1-L09,ok,Track,192.168.123.191,-9,3183609.3876953125,3183611.3876953125
Z2-L09,ok,Track,192.168.123.221,-9,3233773.3935546875,3233779.3935546875
Z3-L05,ok,Track,192.168.123.224,-6,3285328.397705078,3285335.397705078
Z5-L04,ok,Track,192.168.123.226,-6,3361622.4018554688,3344718.4018554688
Z2-L02,ok,Track,192.168.123.215,-9,3343849.4079589844,3343862.4079589844
Z4-L09,ok,Track,192.168.123.168,-9,3313036.415283203,3311005.415283203
Z1-L14,ok,Track,192.168.123.227,-9,3323379.422607422,3323401.422607422
Z4-L11,ok,Track,192.168.123.185,-9,3358674.427734375,2119675.427734375
Z2-L04,ok,Track,192.168.123.190,-9,3395639.4318847656,3376898.4318847656
Z2-L05,ok,Track,192.168.123.217,-9,3156430.4360351562,3156434.4360351562
Z4-L06,ok,Track,192.168.123.249,-9,3346730.4404296875,3346656.4404296875
Z3-L12,ok,Track,192.168.123.238,-9,3321329.4443359375,3308748.4443359375
