Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608902599620.7512,1608902599620.7512
Z4-L08,ok,Track,192.168.123.154,-9,1608902599620.7666,1608902599620.7666
Z2-L08,ok,Track,192.168.123.156,-9,1608902599620.772,1608902599620.772
Z1-L13,ok,Track,192.168.123.165,-9,1608902599620.7761,1608902599620.7761
Z1-L05,ok,Track,192.168.123.152,-9,1608902599620.782,1608902599620.782
Z3-L09,ok,Track,192.168.123.173,-9,1608902599620.786,1608902599620.786
Z3-L10,ok,Track,192.168.123.225,-9,1608902599620.7898,1608902599620.7898
Z4-L03,waiting,Track,None,-9,1608902599620.7937,1608902599620.7937
Z4-L07,ok,Track,192.168.123.178,-9,1608902599620.7998,1608902599620.7998
Z1-L12,ok,Track,192.168.123.237,-9,1608902599620.8037,1608902599620.8037
Z1-L10,waiting,Track,None,-9,1608902599620.8076,1608902599620.8076
Z1-L04,ok,Track,192.168.123.176,-9,1608902599620.812,1608902599620.812
Z4-L05,waiting,Track,None,-9,1608902599620.8157,1608902599620.8157
Z4-L04,waiting,Track,None,-9,1608902599620.82,1608902599620.82
Z4-L01,waiting,Track,None,-9,1608902599620.8242,1608902599620.8242
Z1-L03,ok,Track,192.168.123.163,-9,1608902599620.8284,1608902599620.8284
Z1-L01,ok,Track,192.168.123.198,-9,1608902599620.8323,1608902599620.8323
Z1-L07,ok,Track,192.168.123.181,-9,1608902599620.836,1608902599620.836
Z1-L08,ok,Track,192.168.123.189,-9,1608902599620.8403,1608902599620.8403
Z3-L03,ok,Track,192.168.123.167,-9,1608902599620.8442,1608902599620.8442
Z3-L04,ok,Track,192.168.123.212,-9,1608902599620.848,1608902599620.848
Z2-L03,ok,Track,192.168.123.196,-9,1608902599620.8518,1608902599620.8518
Z1-L11,ok,Track,192.168.123.184,-9,1608902599620.8555,1608902599620.8555
Z3-L02,ok,Track,192.168.123.161,-9,1608902599620.8594,1608902599620.8594
Z2-L06,ok,Track,192.168.123.245,-9,1608902599620.8635,1608902599620.8635
Z1-L02,ok,Track,192.168.123.201,-9,1608902599620.8672,1608902599620.8672
Z2-L07,ok,Track,192.168.123.230,-9,1608902599620.8728,1608902599620.8728
Z4-L02,waiting,Track,None,-9,1608902599620.8765,1608902599620.8765
Z3-L01,ok,Track,192.168.123.228,-9,1608902599620.8809,1608902599620.8809
Z1-L09,ok,Track,192.168.123.191,-9,1608902599620.885,1608902599620.885
Z2-L09,ok,Moved,192.168.123.221,-9,1608902599620.889,1608902599620.889
Z2-L02,ok,Track,192.168.123.215,-9,1608902599620.8928,1608902599620.8928
Z4-L09,ok,Track,192.168.123.168,-9,1608902599620.8965,1608902599620.8965
Z1-L14,ok,Track,192.168.123.227,-9,1608902599620.9004,1608902599620.9004
Z2-L01,waiting,Track,None,-9,1608902599620.9045,1608902599620.9045
Z3-L11,waiting,Track,None,-9,1608902599620.9087,1608902599620.9087
Z4-L11,ok,Track,192.168.123.185,-9,1608902599620.9146,1608902599620.9146
Z2-L04,ok,Track,192.168.123.190,-9,1608902599620.9182,1608902599620.9182
Z2-L05,ok,Track,192.168.123.204,-9,1608902599620.9224,1608902599620.9224
Z4-L06,waiting,Track,None,-9,1608902599620.9263,1608902599620.9263
Z3-L12,ok,Track,192.168.123.193,-9,1608902599620.931,1608902599620.931
