Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609448087841.303,1609448087841.303
Z4-L08,ok,Track,192.168.123.154,-9,1609448087841.3174,1609448087841.3174
Z2-L08,ok,Track,192.168.123.156,-9,1609448087841.323,1609448087841.323
Z1-L13,ok,Track,192.168.123.165,-9,1609448087841.3271,1609448087841.3271
Z1-L05,ok,Track,192.168.123.152,-9,1609448087841.3315,1609448087841.3315
Z3-L09,ok,Track,192.168.123.173,-9,1609448087841.3352,1609448087841.3352
Z3-L10,ok,Track,192.168.123.225,-9,1609448087841.339,1609448087841.339
Z4-L03,waiting,Track,None,-9,1609448087841.343,1609448087841.343
Z4-L07,ok,Track,192.168.123.178,-9,1609448087841.349,1609448087841.349
Z1-L12,ok,Track,192.168.123.237,-9,1609448087841.353,1609448087841.353
Z1-L10,waiting,Track,None,-9,1609448087841.3567,1609448087841.3567
Z1-L04,ok,Track,192.168.123.176,-9,1609448087841.3628,1609448087841.3628
Z4-L05,waiting,Track,None,-9,1609448087841.3667,1609448087841.3667
Z4-L04,waiting,Track,None,-9,1609448087841.3708,1609448087841.3708
Z4-L01,waiting,Track,None,-9,1609448087841.3755,1609448087841.3755
Z1-L03,ok,Track,192.168.123.163,-9,1609448087841.38,1609448087841.38
Z1-L01,ok,Track,192.168.123.198,-9,1609448087841.384,1609448087841.384
Z1-L07,ok,Track,192.168.123.181,-9,1609448087841.3877,1609448087841.3877
Z1-L08,ok,Track,192.168.123.189,-9,1609448087841.3916,1609448087841.3916
Z3-L03,ok,Track,192.168.123.167,-9,1609448087841.3953,1609448087841.3953
Z3-L04,ok,Track,192.168.123.212,-9,1609448087841.3992,1609448087841.3992
Z2-L03,ok,Track,192.168.123.196,-9,1609448087841.4033,1609448087841.4033
Z1-L11,ok,Track,192.168.123.184,-9,1609448087841.4072,1609448087841.4072
Z3-L02,ok,Track,192.168.123.161,-9,1609448087841.4111,1609448087841.4111
Z2-L06,ok,Track,192.168.123.245,-9,1609448087841.415,1609448087841.415
Z1-L02,ok,Track,192.168.123.201,-9,1609448087841.4187,1609448087841.4187
Z2-L07,ok,Track,192.168.123.230,-9,1609448087841.4226,1609448087841.4226
Z4-L02,waiting,Track,None,-9,1609448087841.4263,1609448087841.4263
Z3-L01,ok,Track,192.168.123.228,-9,1609448087841.4304,1609448087841.4304
Z1-L09,ok,Track,192.168.123.191,-9,1609448087841.4346,1609448087841.4346
Z2-L09,ok,Moved,192.168.123.221,-9,1609448087841.4385,1609448087841.4385
Z2-L02,ok,Track,192.168.123.215,-9,1609448087841.4421,1609448087841.4421
Z4-L09,ok,Track,192.168.123.168,-9,1609448087841.4458,1609448087841.4458
Z1-L14,ok,Track,192.168.123.227,-9,1609448087841.4497,1609448087841.4497
Z2-L01,waiting,Track,None,-9,1609448087841.4536,1609448087841.4536
Z3-L11,waiting,Track,None,-9,1609448087841.4592,1609448087841.4592
Z4-L11,ok,Track,192.168.123.185,-9,1609448087841.4636,1609448087841.4636
Z2-L04,ok,Track,192.168.123.190,-9,1609448087841.4673,1609448087841.4673
Z2-L05,ok,Track,192.168.123.204,-9,1609448087841.4712,1609448087841.4712
Z4-L06,waiting,Track,None,-9,1609448087841.475,1609448087841.475
Z3-L12,ok,Track,192.168.123.193,-9,1609448087841.4788,1609448087841.4788
