Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,64055087.032958984,64055094.032958984
Z3-L07,ok,Track,192.168.123.234,-6,193946306.04736328,193923747.04736328
Z4-L08,ok,Track,192.168.123.154,-9,27765265.053466797,24721597.053466797
Z2-L08,ok,Track,192.168.123.213,-9,218773555.05786133,194029848.05786133
Z1-L13,ok,Track,192.168.123.218,-9,193870306.06298828,193870311.06298828
Z1-L05,ok,Track,192.168.123.152,-9,193886124.06713867,193886128.06713867
Z3-L09,ok,Track,192.168.123.173,-9,193896105.0715332,193896117.0715332
Z3-L10,ok,Track,192.168.123.242,-9,193975757.0756836,193966221.0756836
Z3-L06,ok,Track,192.168.123.236,-6,193904417.08007812,193904434.08007812
Z4-L07,ok,Track,192.168.123.178,-9,27772250.084960938,24722599.084960938
Z4-L03,ok,Track,192.168.123.225,-9,193945498.08935547,193945515.08935547
Z2-L01,ok,Track,192.168.123.247,-9,193898350.09350586,193898364.09350586
Z1-L12,ok,Track,192.168.123.209,-9,40255179.09790039,40255185.09790039
Z1-L04,ok,Track,192.168.123.176,-9,193875999.10375977,193875605.10375977
Z4-L05,ok,Track,192.168.123.235,-9,27765256.107910156,24720594.107910156
Z4-L04,ok,Track,192.168.123.239,-9,27765264.112304688,24720594.112304688
Z4-L01,ok,Track,192.168.123.186,-9,193890249.11669922,193890263.11669922
Z1-L03,ok,Track,192.168.123.163,-9,193839581.12109375,193839591.12109375
Z5-L03,ok,Track,192.168.123.198,-6,27765266.126708984,27765274.126708984
Z1-L07,ok,Track,192.168.123.181,-9,193853662.13110352,193853668.13110352
Z1-L08,ok,Track,192.168.123.189,-9,193891775.13549805,193891786.13549805
Z3-L03,ok,Track,192.168.123.167,-9,193897643.13964844,193897665.13964844
Z3-L04,ok,Track,192.168.123.212,-9,193920723.14404297,193905236.14404297
Z2-L03,ok,Track,192.168.123.196,-9,37622924.14794922,37139603.14794922
Z1-L11,ok,Track,192.168.123.184,-9,193847873.15283203,193847876.15283203
Z3-L02,ok,Track,192.168.123.161,-6,193889327.15722656,193889338.15722656
Z2-L06,ok,Track,192.168.123.245,-9,27807349.161132812,27807354.161132812
Z5-L02,ok,Track,192.168.123.244,-6,27773263.165527344,27773265.165527344
Z2-L07,ok,Track,192.168.123.229,-9,193871925.1694336,193871933.1694336
Z3-L11,ok,Track,192.168.123.201,-9,193883778.17382812,193883787.17382812
Z1-L10,ok,Track,192.168.123.246,-9,193877203.17773438,193877007.17773438
Z4-L02,ok,Track,192.168.123.240,-9,27772251.182617188,27772271.182617188
Z3-L01,ok,Track,192.168.123.228,-6,193867951.18676758,193867961.18676758
Z5-L01,ok,Track,192.168.123.248,-6,65659235.19091797,65659238.19091797
Z1-L09,ok,Track,192.168.123.191,-9,193843847.19506836,193843849.19506836
Z2-L09,ok,Track,192.168.123.221,-9,193876707.2019043,193876711.2019043
Z3-L05,ok,Track,192.168.123.224,-6,193905318.20629883,193905330.20629883
Z5-L04,ok,Track,192.168.123.226,-6,209854996.21044922,24233956.21044922
Z2-L02,ok,Track,192.168.123.215,-9,218795981.21484375,194000515.21484375
Z4-L09,ok,Track,192.168.123.168,-9,27779266.21899414,27779278.21899414
Z1-L14,ok,Track,192.168.123.227,-9,27813354.223388672,27813374.223388672
Z4-L11,ok,Track,192.168.123.185,-9,27764266.227539062,24720594.227539062
Z2-L04,ok,Track,192.168.123.190,-9,27765265.232910156,24725614.232910156
Z2-L05,ok,Track,192.168.123.217,-9,193824841.23754883,193824846.23754883
Z4-L06,ok,Track,192.168.123.249,-9,27765264.241455078,24721597.241455078
Z3-L12,ok,Track,192.168.123.238,-9,52327501.24560547,52327509.24560547
