Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,126955011.63964844,121482062.63964844
Z3-L07,ok,Track,192.168.123.234,-6,121414225.6508789,121391666.6508789
Z4-L08,ok,Track,192.168.123.154,-9,121457726.65527344,121453782.65527344
Z2-L08,ok,Track,192.168.123.213,-9,146241474.65893555,121497767.65893555
Z1-L13,ok,Track,192.168.123.218,-9,121338225.66259766,121338230.66259766
Z1-L05,ok,Track,192.168.123.152,-9,121354043.66601562,121354047.66601562
Z3-L09,ok,Track,192.168.123.173,-9,121364024.66992188,121364036.66992188
Z3-L10,ok,Track,192.168.123.242,-9,121443676.67333984,121434140.67333984
Z3-L06,ok,Track,192.168.123.236,-6,121372336.67675781,121372353.67675781
Z4-L07,ok,Track,192.168.123.178,-9,121433314.68041992,121433329.68041992
Z4-L03,ok,Track,192.168.123.225,-9,121413417.68359375,121413434.68359375
Z2-L01,ok,Track,192.168.123.247,-9,121366269.68725586,121366283.68725586
Z1-L12,ok,Track,192.168.123.209,-9,121404256.69091797,121400919.69091797
Z1-L04,ok,Track,192.168.123.176,-9,121343918.6940918,121343524.6940918
Z4-L05,ok,Track,192.168.123.235,-9,121424630.6977539,121414125.6977539
Z4-L04,ok,Track,192.168.123.239,-9,121421875.70092773,121413330.70092773
Z4-L01,ok,Track,192.168.123.186,-9,121358168.7043457,121358182.7043457
Z1-L03,ok,Track,192.168.123.163,-9,121307500.70776367,121307510.70776367
Z5-L03,ok,Track,192.168.123.198,-6,123480774.71142578,121489466.71142578
Z1-L07,ok,Track,192.168.123.181,-9,121321581.71459961,121321587.71459961
Z1-L08,ok,Track,192.168.123.189,-9,121359694.71801758,121359705.71801758
Z3-L03,ok,Track,192.168.123.167,-9,121365562.72143555,121365584.72143555
Z3-L04,ok,Track,192.168.123.212,-9,121388642.72485352,121373155.72485352
Z2-L03,ok,Track,192.168.123.196,-9,121373621.72827148,121373549.72827148
Z1-L11,ok,Track,192.168.123.184,-9,121315792.7319336,121315795.7319336
Z3-L02,ok,Track,192.168.123.161,-6,121357246.73510742,121357257.73510742
Z2-L06,ok,Track,192.168.123.245,-9,121454680.73852539,121454701.73852539
Z5-L02,ok,Track,192.168.123.244,-6,121367278.74194336,121365584.74194336
Z2-L07,ok,Track,192.168.123.229,-9,121339844.74511719,121339852.74511719
Z3-L11,ok,Track,192.168.123.201,-9,121351697.74853516,121351706.74853516
Z1-L10,ok,Track,192.168.123.246,-9,121345122.75219727,121344926.75219727
Z4-L02,ok,Track,192.168.123.240,-9,121411978.7553711,121411264.7553711
Z3-L01,ok,Track,192.168.123.228,-6,121335870.75878906,121335880.75878906
Z5-L01,ok,Track,192.168.123.248,-6,121374258.76220703,121371429.76220703
Z1-L09,ok,Track,192.168.123.191,-9,121311766.76660156,121311768.76660156
Z2-L09,ok,Track,192.168.123.221,-9,121344626.77124023,121344630.77124023
Z3-L05,ok,Track,192.168.123.224,-6,121373237.7746582,121373249.7746582
Z5-L04,ok,Track,192.168.123.226,-6,137322915.77807617,121461134.77807617
Z2-L02,ok,Track,192.168.123.215,-9,146263900.78149414,121468434.78149414
Z4-L09,ok,Track,192.168.123.168,-9,121456623.78491211,121456146.78491211
Z1-L14,ok,Track,192.168.123.227,-9,121460495.78833008,121448331.78833008
Z4-L11,ok,Track,192.168.123.185,-9,121498366.79199219,121492008.79199219
Z2-L04,ok,Track,192.168.123.190,-9,123479031.79516602,123479041.79516602
Z2-L05,ok,Track,192.168.123.217,-9,121292760.79882812,121292765.79882812
Z4-L06,ok,Track,192.168.123.249,-9,121474696.8022461,121466330.8022461
Z3-L12,ok,Track,192.168.123.238,-9,121447286.80541992,121423918.80541992
