Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608737772636.5564,1608737772636.5564
Z4-L08,ok,Track,192.168.123.154,-9,1608737772636.58,1608737772636.58
Z2-L08,ok,Track,192.168.123.156,-9,1608737772636.5847,1608737772636.5847
Z1-L13,ok,Track,192.168.123.165,-9,1608737772636.5881,1608737772636.5881
Z1-L05,ok,Track,192.168.123.152,-9,1608737772636.5916,1608737772636.5916
Z3-L09,ok,Track,192.168.123.173,-9,1608737772636.5947,1608737772636.5947
Z3-L10,ok,Track,192.168.123.225,-9,1608737772636.5981,1608737772636.5981
Z4-L03,waiting,Track,None,-9,1608737772636.6016,1608737772636.6016
Z4-L07,ok,Track,192.168.123.178,-9,1608737772636.607,1608737772636.607
Z1-L12,ok,Track,192.168.123.237,-9,1608737772636.61,1608737772636.61
Z1-L10,waiting,Track,None,-9,1608737772636.6133,1608737772636.6133
Z1-L04,ok,Track,192.168.123.176,-9,1608737772636.617,1608737772636.617
Z4-L05,waiting,Track,None,-9,1608737772636.62,1608737772636.62
Z4-L04,waiting,Track,None,-9,1608737772636.6233,1608737772636.6233
Z4-L01,waiting,Track,None,-9,1608737772636.627,1608737772636.627
Z1-L03,ok,Track,192.168.123.163,-9,1608737772636.6304,1608737772636.6304
Z1-L01,ok,Track,192.168.123.198,-9,1608737772636.6335,1608737772636.6335
Z1-L07,ok,Track,192.168.123.181,-9,1608737772636.6367,1608737772636.6367
Z1-L08,ok,Track,192.168.123.189,-9,1608737772636.6401,1608737772636.6401
Z3-L03,ok,Track,192.168.123.167,-9,1608737772636.643,1608737772636.643
Z3-L04,ok,Track,192.168.123.212,-9,1608737772636.646,1608737772636.646
Z2-L03,ok,Track,192.168.123.196,-9,1608737772636.6492,1608737772636.6492
Z1-L11,ok,Track,192.168.123.184,-9,1608737772636.6523,1608737772636.6523
Z3-L02,ok,Track,192.168.123.161,-9,1608737772636.6553,1608737772636.6553
Z2-L06,ok,Track,192.168.123.245,-9,1608737772636.6584,1608737772636.6584
Z1-L02,ok,Track,192.168.123.201,-9,1608737772636.6616,1608737772636.6616
Z2-L07,ok,Track,192.168.123.230,-9,1608737772636.6646,1608737772636.6646
Z4-L02,waiting,Track,None,-9,1608737772636.6677,1608737772636.6677
Z3-L01,ok,Track,192.168.123.228,-9,1608737772636.6711,1608737772636.6711
Z1-L09,ok,Track,192.168.123.191,-9,1608737772636.674,1608737772636.674
Z2-L09,ok,Moved,192.168.123.221,-9,1608737772636.677,1608737772636.677
Z2-L02,ok,Track,192.168.123.215,-9,1608737772636.6816,1608737772636.6816
Z4-L09,ok,Track,192.168.123.168,-9,1608737772636.6846,1608737772636.6846
Z1-L14,ok,Track,192.168.123.227,-9,1608737772636.6875,1608737772636.6875
Z2-L01,waiting,Track,None,-9,1608737772636.691,1608737772636.691
Z3-L11,waiting,Track,None,-9,1608737772636.6956,1608737772636.6956
Z4-L11,ok,Track,192.168.123.185,-9,1608737772636.699,1608737772636.699
Z2-L04,ok,Track,192.168.123.190,-9,1608737772636.7021,1608737772636.7021
Z2-L05,ok,Track,192.168.123.204,-9,1608737772636.7053,1608737772636.7053
Z4-L06,waiting,Track,None,-9,1608737772636.7083,1608737772636.7083
Z3-L12,ok,Track,192.168.123.193,-9,1608737772636.7117,1608737772636.7117
