Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,111485500.30175781,111485231.30175781
Z4-L08,ok,Track,192.168.123.154,-9,113585908.31518555,113309634.31518555
Z2-L08,ok,Track,192.168.123.156,-9,113328683.32006836,113323865.32006836
Z1-L13,ok,Track,192.168.123.165,-9,111458896.32397461,111458186.32397461
Z1-L05,ok,Track,192.168.123.152,-9,111468005.32788086,111468017.32788086
Z3-L09,ok,Track,192.168.123.173,-9,111466113.33178711,111466115.33178711
Z3-L10,ok,Track,192.168.123.225,-9,111685074.33569336,111616742.33569336
Z4-L03,waiting,Track,None,-9,1607902829889.339,111616742.33911133
Z4-L07,ok,Track,192.168.123.178,-9,111646823.3449707,111646842.3449707
Z1-L12,ok,Track,192.168.123.237,-9,111484511.34838867,111478258.34838867
Z1-L10,waiting,Track,None,-9,1607902829889.3525,111478258.35253906
Z1-L04,ok,Track,192.168.123.176,-9,111464271.35644531,111464277.35644531
Z4-L05,failed,Track,192.168.123.235,-9,818700527.3598633,818700534.3598633
Z4-L04,failed,Track,192.168.123.226,-9,818700529.3637695,818700534.3637695
Z4-L01,failed,Track,192.168.123.186,-9,818700519.3674316,818700534.3674316
Z1-L03,ok,Track,192.168.123.163,-9,111451874.37109375,111451876.37109375
Z1-L01,failed,Track,192.168.123.198,-9,148346987.38623047,148346992.38623047
Z1-L07,ok,Track,192.168.123.181,-9,111451986.38964844,111451989.38964844
Z1-L08,ok,Track,192.168.123.189,-9,111467504.3930664,111467506.3930664
Z3-L03,ok,Track,192.168.123.167,-9,111469402.39672852,111469409.39672852
Z3-L04,ok,Track,192.168.123.212,-9,111474942.39990234,111473619.39990234
Z2-L03,ok,Track,192.168.123.196,-9,111470531.40356445,111470537.40356445
Z1-L11,ok,Track,192.168.123.184,-9,111456253.40722656,111456260.40722656
Z3-L02,failed,Track,192.168.123.161,-9,148314368.4104004,148314376.4104004
Z2-L06,ok,Track,192.168.123.245,-9,113313326.41381836,113313345.41381836
Z1-L02,ok,Track,192.168.123.201,-9,148345653.41748047,148345663.41748047
Z2-L07,ok,Track,192.168.123.230,-9,111466504.4206543,111466512.4206543
Z4-L02,failed,Track,192.168.123.188,-9,818700509.4243164,818700534.4243164
Z3-L01,ok,Track,192.168.123.228,-9,148361724.42773438,148360365.42773438
Z1-L09,ok,Track,192.168.123.191,-9,111451682.43115234,111451684.43115234
Z2-L09,ok,Moved,192.168.123.221,-9,991170513.4345703,991170524.4345703
Z2-L02,ok,Track,192.168.123.215,-9,111474455.43823242,111474463.43823242
Z4-L09,ok,Track,192.168.123.168,-9,111648164.44140625,111648167.44140625
Z1-L14,ok,Track,192.168.123.227,-9,111487378.44506836,111487399.44506836
Z2-L01,waiting,Track,None,-9,1607902829889.4485,111487399.44848633
Z3-L11,waiting,Track,None,-9,1607902829889.4536,111487399.45361328
Z4-L11,ok,Track,192.168.123.185,-9,113324151.45727539,113320736.45727539
Z2-L04,ok,Track,192.168.123.190,-9,113326251.46044922,113326258.46044922
Z2-L05,ok,Track,192.168.123.204,-9,111457060.46386719,111457062.46386719
Z4-L06,failed,Track,192.168.123.249,-9,818700963.4675293,818700837.4675293
Z3-L12,ok,Track,192.168.123.193,-9,111647943.47070312,111615815.47070312
