Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609279435856.2783,1609279435856.2783
Z4-L08,ok,Track,192.168.123.154,-9,1609279435856.295,1609279435856.295
Z2-L08,ok,Track,192.168.123.156,-9,1609279435856.3003,1609279435856.3003
Z1-L13,ok,Track,192.168.123.165,-9,1609279435856.3052,1609279435856.3052
Z1-L05,ok,Track,192.168.123.152,-9,1609279435856.3093,1609279435856.3093
Z3-L09,ok,Track,192.168.123.173,-9,1609279435856.314,1609279435856.314
Z3-L10,ok,Track,192.168.123.225,-9,1609279435856.3179,1609279435856.3179
Z4-L03,waiting,Track,None,-9,1609279435856.3218,1609279435856.3218
Z4-L07,ok,Track,192.168.123.178,-9,1609279435856.3284,1609279435856.3284
Z1-L12,ok,Track,192.168.123.237,-9,1609279435856.3323,1609279435856.3323
Z1-L10,waiting,Track,None,-9,1609279435856.3362,1609279435856.3362
Z1-L04,ok,Track,192.168.123.176,-9,1609279435856.3403,1609279435856.3403
Z4-L05,waiting,Track,None,-9,1609279435856.3445,1609279435856.3445
Z4-L04,waiting,Track,None,-9,1609279435856.3489,1609279435856.3489
Z4-L01,waiting,Track,None,-9,1609279435856.353,1609279435856.353
Z1-L03,ok,Track,192.168.123.163,-9,1609279435856.3574,1609279435856.3574
Z1-L01,ok,Track,192.168.123.198,-9,1609279435856.3613,1609279435856.3613
Z1-L07,ok,Track,192.168.123.181,-9,1609279435856.3657,1609279435856.3657
Z1-L08,ok,Track,192.168.123.189,-9,1609279435856.3696,1609279435856.3696
Z3-L03,ok,Track,192.168.123.167,-9,1609279435856.3735,1609279435856.3735
Z3-L04,ok,Track,192.168.123.212,-9,1609279435856.3777,1609279435856.3777
Z2-L03,ok,Track,192.168.123.196,-9,1609279435856.3816,1609279435856.3816
Z1-L11,ok,Track,192.168.123.184,-9,1609279435856.3855,1609279435856.3855
Z3-L02,ok,Track,192.168.123.161,-9,1609279435856.3894,1609279435856.3894
Z2-L06,ok,Track,192.168.123.245,-9,1609279435856.3936,1609279435856.3936
Z1-L02,ok,Track,192.168.123.201,-9,1609279435856.3977,1609279435856.3977
Z2-L07,ok,Track,192.168.123.230,-9,1609279435856.4014,1609279435856.4014
Z4-L02,waiting,Track,None,-9,1609279435856.4055,1609279435856.4055
Z3-L01,ok,Track,192.168.123.228,-9,1609279435856.4097,1609279435856.4097
Z1-L09,ok,Track,192.168.123.191,-9,1609279435856.4136,1609279435856.4136
Z2-L09,ok,Moved,192.168.123.221,-9,1609279435856.418,1609279435856.418
Z2-L02,ok,Track,192.168.123.215,-9,1609279435856.4216,1609279435856.4216
Z4-L09,ok,Track,192.168.123.168,-9,1609279435856.4258,1609279435856.4258
Z1-L14,ok,Track,192.168.123.227,-9,1609279435856.43,1609279435856.43
Z2-L01,waiting,Track,None,-9,1609279435856.4336,1609279435856.4336
Z3-L11,waiting,Track,None,-9,1609279435856.4397,1609279435856.4397
Z4-L11,ok,Track,192.168.123.185,-9,1609279435856.4436,1609279435856.4436
Z2-L04,ok,Track,192.168.123.190,-9,1609279435856.4478,1609279435856.4478
Z2-L05,ok,Track,192.168.123.204,-9,1609279435856.4534,1609279435856.4534
Z4-L06,waiting,Track,None,-9,1609279435856.4573,1609279435856.4573
Z3-L12,ok,Track,192.168.123.193,-9,1609279435856.4612,1609279435856.4612
