Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,14.60107421875,20.60107421875
Z4-L08,ok,Track,192.168.123.154,-9,31858.61669921875,31862.61669921875
Z2-L08,ok,Track,192.168.123.156,-9,13.62255859375,20.62255859375
Z1-L13,ok,Track,192.168.123.165,-9,119943.626953125,104566.626953125
Z1-L05,ok,Track,192.168.123.152,-9,152259.63208007812,74510.63208007812
Z3-L09,ok,Track,192.168.123.173,-9,269314.6376953125,269319.6376953125
Z3-L10,ok,Track,192.168.123.225,-9,242499.6435546875,234944.6435546875
Z4-L03,waiting,Track,None,-9,1607944349844.648,234944.64794921875
Z4-L07,ok,Track,192.168.123.178,-9,238.65625,20.65625
Z1-L12,ok,Track,192.168.123.237,-9,162479.66064453125,147299.66064453125
Z1-L10,waiting,Track,None,-9,1607944349844.6653,147299.66528320312
Z1-L04,ok,Track,192.168.123.176,-9,3828.67041015625,3838.67041015625
Z4-L05,failed,Track,192.168.123.235,-9,860220482.6745605,860220489.6745605
Z4-L04,failed,Track,192.168.123.226,-9,860220484.6806641,860220489.6806641
Z4-L01,failed,Track,192.168.123.186,-9,860220474.6860352,860220489.6860352
Z1-L03,ok,Track,192.168.123.163,-9,282775.69091796875,282777.69091796875
Z1-L01,ok,Track,192.168.123.198,-9,189866942.69506836,189866947.69506836
Z1-L07,ok,Track,192.168.123.181,-9,293474.7009277344,290419.7009277344
Z1-L08,ok,Track,192.168.123.189,-9,281955.70654296875,281971.70654296875
Z3-L03,ok,Track,192.168.123.167,-9,246743.7109375,246646.7109375
Z3-L04,ok,Track,192.168.123.212,-9,237239.71533203125,237247.71533203125
Z2-L03,ok,Track,192.168.123.196,-9,15.7197265625,20.7197265625
Z1-L11,ok,Track,192.168.123.184,-9,276678.7236328125,251742.7236328125
Z3-L02,ok,Track,192.168.123.161,-9,189834323.72802734,189834331.72802734
Z2-L06,ok,Track,192.168.123.245,-9,943.732421875,122.732421875
Z1-L02,ok,Track,192.168.123.201,-9,189865608.73706055,189865618.73706055
Z2-L07,ok,Track,192.168.123.230,-9,114.74169921875,20.74169921875
Z4-L02,failed,Track,192.168.123.188,-9,860220464.7456055,860220489.7456055
Z3-L01,failed,Track,192.168.123.228,-9,189881679.75,189880320.75
Z1-L09,ok,Track,192.168.123.191,-9,280652.75390625,280657.75390625
Z2-L09,ok,Moved,192.168.123.221,-9,1032690468.7583008,1032690479.7583008
Z2-L02,ok,Track,192.168.123.215,-9,6.762451171875,20.762451171875
Z4-L09,ok,Track,192.168.123.168,-9,16.76708984375,20.76708984375
Z1-L14,ok,Track,192.168.123.227,-9,328.77099609375,336.77099609375
Z2-L01,waiting,Track,None,-9,1607944349844.775,336.77490234375
Z3-L11,waiting,Track,None,-9,1607944349844.7812,336.78125
Z4-L11,ok,Track,192.168.123.185,-9,1397.785400390625,64.785400390625
Z2-L04,ok,Track,192.168.123.190,-9,6.7900390625,20.7900390625
Z2-L05,ok,Track,192.168.123.204,-9,1943.7939453125,1951.7939453125
Z4-L06,failed,Track,192.168.123.249,-9,860220918.7983398,860220792.7983398
Z3-L12,ok,Track,192.168.123.193,-9,4883.802734375,4890.802734375
