Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,92150952.75463867,92150956.75463867
Z3-L07,ok,Track,192.168.123.234,-6,92187205.76538086,92187209.76538086
Z4-L08,ok,Track,192.168.123.154,-9,75448307.77001953,75448313.77001953
Z2-L08,ok,Track,192.168.123.213,-9,92134070.77441406,92134072.77441406
Z1-L13,ok,Track,192.168.123.218,-9,92151680.77832031,92151585.77832031
Z1-L05,ok,Track,192.168.123.152,-9,65127053.78198242,65127058.78198242
Z3-L09,ok,Track,192.168.123.173,-9,65126851.78588867,65126856.78588867
Z3-L10,ok,Track,192.168.123.242,-9,94800006.78930664,92238629.78930664
Z3-L06,ok,Track,192.168.123.236,-6,92890922.79321289,92890925.79321289
Z4-L07,ok,Track,192.168.123.178,-9,76172887.79833984,76157863.79833984
Z4-L03,ok,Track,192.168.123.225,-9,92235226.80200195,92233754.80200195
Z2-L01,ok,Track,192.168.123.247,-9,65243504.80566406,65243509.80566406
Z1-L12,ok,Track,192.168.123.209,-9,92223275.80932617,92223286.80932617
Z1-L04,ok,Track,192.168.123.176,-9,65186471.81298828,65186476.81298828
Z4-L05,ok,Track,192.168.123.235,-9,65255506.81689453,65255513.81689453
Z4-L04,ok,Track,192.168.123.239,-9,77078386.8203125,77078390.8203125
Z4-L01,ok,Track,192.168.123.186,-9,92850482.82446289,92231150.82446289
Z1-L03,ok,Track,192.168.123.163,-9,7743153.828125,1958929.828125
Z5-L03,ok,Track,192.168.123.198,-6,77373509.83178711,77373514.83178711
Z1-L07,ok,Track,192.168.123.181,-9,66131675.8359375,65257504.8359375
Z1-L08,ok,Track,192.168.123.189,-9,12884681.839355469,14060917.839355469
Z3-L03,ok,Track,192.168.123.167,-9,65127254.84301758,65127264.84301758
Z3-L04,ok,Track,192.168.123.212,-9,65133057.84667969,65133063.84667969
Z2-L03,ok,Track,192.168.123.196,-9,66129662.8503418,66129667.8503418
Z1-L11,ok,Track,192.168.123.184,-9,65126739.85498047,65126747.85498047
Z3-L02,ok,Track,192.168.123.161,-6,65127255.85888672,65127264.85888672
Z2-L06,ok,Track,192.168.123.245,-9,89510219.86206055,89510227.86206055
Z5-L02,ok,Track,192.168.123.244,-6,65248485.8659668,65248508.8659668
Z2-L07,ok,Track,192.168.123.229,-9,92133442.86938477,92133445.86938477
Z3-L11,ok,Track,192.168.123.201,-9,65196480.872802734,65196485.872802734
Z1-L10,ok,Track,192.168.123.246,-9,92160427.87670898,92160434.87670898
Z4-L02,ok,Track,192.168.123.240,-9,77170359.8803711,77170369.8803711
Z3-L01,ok,Track,192.168.123.228,-6,65126526.88378906,65126535.88378906
Z5-L01,ok,Track,192.168.123.248,-6,65248477.88745117,65248508.88745117
Z1-L09,ok,Track,192.168.123.191,-9,7743153.891357422,2383333.891357422
Z2-L09,ok,Track,192.168.123.221,-9,69955743.89648438,69821453.89648438
Z3-L05,ok,Track,192.168.123.224,-6,92853972.89990234,92853981.89990234
Z5-L04,ok,Track,192.168.123.226,-6,81020224.90356445,81020227.90356445
Z2-L02,ok,Track,192.168.123.215,-9,92159909.90722656,92159400.90722656
Z4-L09,ok,Track,192.168.123.168,-9,80414652.91040039,75246083.91040039
Z1-L14,ok,Track,192.168.123.227,-9,89225007.91430664,89225011.91430664
Z4-L11,ok,Track,192.168.123.185,-9,72537564.91796875,72537572.91796875
Z2-L04,ok,Track,192.168.123.190,-9,92130281.92138672,92126250.92138672
Z2-L05,ok,Track,192.168.123.217,-9,65244508.92504883,65244514.92504883
Z4-L06,ok,Track,192.168.123.249,-9,72538556.92871094,72538564.92871094
Z3-L12,ok,Track,192.168.123.238,-9,91085365.9321289,91085372.9321289
