Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.188,-9,512.546630859375,513.546630859375
Z3-L07,ok,Track,192.168.123.234,-9,1022624.5610351562,1022645.5610351562
Z4-L08,ok,Track,192.168.123.154,-9,15019385.567382812,14946637.567382812
Z2-L08,ok,Track,192.168.123.213,-9,11443.57275390625,77.57275390625
Z5-L05,ok,Track,192.168.123.180,-9,979636.5778808594,979648.5778808594
Z1-L13,ok,Track,192.168.123.232,-9,64.5830078125,77.5830078125
Z1-L05,ok,Track,192.168.123.152,-9,1011134.5871582031,1005596.5871582031
Z3-L09,ok,Track,192.168.123.173,-9,884263.5915527344,884265.5915527344
Z3-L06,ok,Track,192.168.123.236,-9,1458813.595703125,1458818.595703125
Z3-L10,ok,Track,192.168.123.242,-9,14922516.600341797,14922531.600341797
Z4-L07,ok,Track,192.168.123.178,-9,805.604736328125,817.604736328125
Z4-L03,ok,Track,192.168.123.225,-9,1010482.609375,1010499.609375
Z2-L01,ok,Track,192.168.123.202,-9,511.613525390625,77.613525390625
Z1-L12,ok,Track,192.168.123.206,-9,395912.6193847656,162961.61938476562
Z1-L04,ok,Track,192.168.123.187,-9,1885.623779296875,905.623779296875
Z4-L05,ok,Track,192.168.123.235,-9,815.628173828125,817.628173828125
Z4-L04,ok,Track,192.168.123.239,-9,805.63232421875,817.63232421875
Z4-L01,ok,Track,192.168.123.186,-9,675116.6362304688,675136.6362304688
Z1-L03,ok,Track,192.168.123.200,-9,895.640869140625,905.640869140625
Z5-L06,ok,Track,192.168.123.177,-9,14906516.646240234,14906423.646240234
Z5-L03,ok,Track,192.168.123.198,-9,1010073.6506347656,1005484.6506347656
Z1-L07,ok,Track,192.168.123.211,-9,3890.666259765625,905.666259765625
Z1-L08,ok,Track,192.168.123.193,-9,558360.6701660156,558373.6701660156
Z3-L03,ok,Track,192.168.123.167,-9,101454.67407226562,101460.67407226562
Z3-L04,ok,Track,192.168.123.212,-9,1002875.677734375,980366.677734375
Z2-L03,ok,Track,192.168.123.197,-9,496557.6813964844,496560.6813964844
Z1-L11,ok,Track,192.168.123.192,-9,692047.6860351562,37716.68603515625
Z3-L02,ok,Track,192.168.123.161,-9,899259.6904296875,899270.6904296875
Z2-L06,ok,Track,192.168.123.205,-9,804.694091796875,817.694091796875
Z5-L02,ok,Track,192.168.123.244,-9,501.697509765625,513.697509765625
Z2-L07,ok,Track,192.168.123.179,-9,65.702392578125,77.702392578125
Z3-L11,ok,Track,192.168.123.201,-9,1018290.7058105469,1014968.7058105469
Z1-L10,ok,Track,192.168.123.210,-9,981045.7097167969,980952.7097167969
Z4-L02,ok,Track,192.168.123.240,-9,272925.7136230469,272934.7136230469
Z3-L01,ok,Track,192.168.123.228,-9,249.717041015625,258.717041015625
Z5-L01,ok,Track,192.168.123.248,-9,980446.7221679688,980472.7221679688
Z2-L09,ok,Track,192.168.123.195,-9,555750.7258300781,555753.7258300781
Z1-L09,ok,Track,192.168.123.203,-9,1260.7294921875,1266.7294921875
Z3-L05,ok,Track,192.168.123.224,-9,1020519.7331542969,1020544.7331542969
Z5-L04,ok,Track,192.168.123.226,-9,1010265.7375488281,979535.7375488281
Z2-L02,ok,Track,192.168.123.199,-9,66.741455078125,77.741455078125
Z4-L09,ok,Track,192.168.123.168,-9,814.744873046875,817.744873046875
Z1-L14,ok,Track,192.168.123.182,-9,509.748291015625,513.748291015625
Z4-L11,ok,Track,192.168.123.185,-9,812.751953125,817.751953125
Z2-L04,ok,Track,192.168.123.183,-9,1020314.7556152344,981271.7556152344
Z2-L05,ok,Track,192.168.123.204,-9,57.759033203125,77.759033203125
Z4-L06,ok,Track,192.168.123.249,-9,1795.763916015625,1813.763916015625
Z3-L12,ok,Track,192.168.123.238,-9,8646029.767578125,8605765.767578125
