Z1-L06,ok,Track,192.168.123.194,-9,92500276.24829102,92500007.24829102
Z4-L08,ok,Track,192.168.123.154,-9,94600684.26782227,94324410.26782227
Z2-L08,ok,Track,192.168.123.156,-9,94343459.27368164,94338641.27368164
Z1-L13,ok,Track,192.168.123.165,-9,92473672.27807617,92472962.27807617
Z1-L05,ok,Track,192.168.123.152,-9,92482781.28222656,92482793.28222656
Z3-L09,ok,Track,192.168.123.173,-9,92480889.2866211,92480891.2866211
Z3-L10,ok,Track,192.168.123.225,-9,92699850.29125977,92631518.29125977
Z4-L03,waiting,Track,None,-9,1607883844665.2976,92631518.29760742
Z4-L07,ok,Track,192.168.123.178,-9,92661599.3046875,92661618.3046875
Z1-L12,ok,Track,192.168.123.237,-9,92499287.30908203,92493034.30908203
Z1-L10,waiting,Track,None,-9,1607883844665.3135,92493034.31347656
Z1-L04,ok,Track,192.168.123.176,-9,92479047.31860352,92479053.31860352
Z4-L05,failed,Track,192.168.123.235,-9,799715303.3225098,799715310.3225098
Z4-L04,failed,Track,192.168.123.226,-9,799715305.3271484,799715310.3271484
Z4-L01,failed,Track,192.168.123.186,-9,799715295.3312988,799715310.3312988
Z1-L03,ok,Track,192.168.123.163,-9,92466650.33569336,92466652.33569336
Z1-L01,failed,Track,192.168.123.198,-9,129361763.33984375,129361768.33984375
Z1-L07,ok,Track,192.168.123.181,-9,92466762.34423828,92466765.34423828
Z1-L08,ok,Track,192.168.123.189,-9,92482280.34838867,92482282.34838867
Z3-L03,ok,Track,192.168.123.167,-9,92484178.3527832,92484185.3527832
Z3-L04,ok,Track,192.168.123.212,-9,92489718.37084961,92488395.37084961
Z2-L03,ok,Track,192.168.123.196,-9,92485307.37451172,92485313.37451172
Z1-L11,ok,Track,192.168.123.184,-9,92471029.37817383,92471036.37817383
Z3-L02,failed,Track,192.168.123.161,-9,129329144.3815918,129329152.3815918
Z2-L06,ok,Track,192.168.123.245,-9,94328102.3852539,94328121.3852539
Z1-L02,failed,Track,192.168.123.201,-9,129360429.38891602,129360439.38891602
Z2-L07,ok,Track,192.168.123.230,-9,92481280.39257812,92481288.39257812
Z4-L02,failed,Track,192.168.123.188,-9,799715285.3962402,799715310.3962402
Z3-L01,failed,Track,192.168.123.228,-9,129376500.39990234,129375141.39990234
Z1-L09,ok,Track,192.168.123.191,-9,92466458.40356445,92466460.40356445
Z2-L09,ok,Moved,192.168.123.221,-9,972185289.4074707,972185300.4074707
Z2-L02,ok,Track,192.168.123.215,-9,92489231.41088867,92489239.41088867
Z4-L09,ok,Track,192.168.123.168,-9,92662940.41455078,92662943.41455078
Z1-L14,ok,Track,192.168.123.227,-9,92502154.41796875,92502175.41796875
Z2-L01,waiting,Track,None,-9,1607883844665.4214,92502175.42138672
Z3-L11,waiting,Track,None,-9,1607883844665.4258,92502175.42578125
Z4-L11,ok,Track,192.168.123.185,-9,94338927.43164062,94335512.43164062
Z2-L04,ok,Track,192.168.123.190,-9,94341027.43554688,94341034.43554688
Z2-L05,ok,Track,192.168.123.204,-9,92471836.43920898,92471838.43920898
Z4-L06,failed,Track,192.168.123.249,-9,799715739.442627,799715613.442627
Z3-L12,ok,Track,192.168.123.193,-9,92662719.44628906,92630591.44628906
