Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,27738697.66455078,27644887.66455078
Z3-L07,ok,Track,192.168.123.234,-6,27669240.675048828,27669056.675048828
Z4-L08,ok,Track,192.168.123.154,-9,27724779.67944336,27723600.67944336
Z2-L08,ok,Track,192.168.123.213,-9,27761680.68310547,27737377.68310547
Z1-L13,ok,Track,192.168.123.218,-9,27575989.686767578,27575995.686767578
Z1-L05,ok,Track,192.168.123.152,-9,27606837.690185547,27606840.690185547
Z3-L09,ok,Track,192.168.123.173,-9,27614603.694091797,27614611.694091797
Z3-L10,ok,Track,192.168.123.242,-9,27695523.697509766,27695418.697509766
Z3-L06,ok,Track,192.168.123.236,-6,27662929.700927734,27662932.700927734
Z4-L07,ok,Track,192.168.123.178,-9,27691531.704345703,27691545.704345703
Z4-L03,ok,Track,192.168.123.225,-9,27690004.708007812,27690019.708007812
Z2-L01,ok,Track,192.168.123.247,-9,27613816.71142578,27613828.71142578
Z1-L12,ok,Track,192.168.123.209,-9,27659867.71508789,27639912.71508789
Z1-L04,ok,Track,192.168.123.176,-9,27597677.71850586,27597687.71850586
Z4-L05,ok,Track,192.168.123.235,-9,27685693.721923828,27685713.721923828
Z4-L04,ok,Track,192.168.123.239,-9,27658653.7265625,27657443.7265625
Z4-L01,ok,Track,192.168.123.186,-9,27618060.73022461,27618074.73022461
Z1-L03,ok,Track,192.168.123.163,-9,27588513.73388672,27580037.73388672
Z5-L03,ok,Track,192.168.123.198,-6,27747164.737548828,27741464.737548828
Z1-L07,ok,Track,192.168.123.181,-9,27590040.740722656,27590047.740722656
Z1-L08,ok,Track,192.168.123.189,-9,27620394.744384766,27610170.744384766
Z3-L03,ok,Track,192.168.123.167,-9,27627323.748046875,27627331.748046875
Z3-L04,ok,Track,192.168.123.212,-9,27654705.751464844,27630411.751464844
Z2-L03,ok,Track,192.168.123.196,-9,27614302.755126953,27614312.755126953
Z1-L11,ok,Track,192.168.123.184,-9,27538189.758544922,27538194.758544922
Z3-L02,ok,Track,192.168.123.161,-6,27606635.76196289,27606640.76196289
Z2-L06,ok,Track,192.168.123.245,-9,27710303.766601562,27710317.766601562
Z5-L02,ok,Track,192.168.123.244,-6,27615947.77001953,27615955.77001953
Z2-L07,ok,Track,192.168.123.229,-9,27598888.77368164,27541234.77368164
Z3-L11,ok,Track,192.168.123.201,-9,27609744.77709961,27609755.77709961
Z1-L10,ok,Track,192.168.123.246,-9,27619059.780273438,27619074.780273438
Z4-L02,ok,Track,192.168.123.240,-9,27660697.783691406,27660711.783691406
Z3-L01,ok,Track,192.168.123.228,-6,27597374.787353516,27597382.787353516
Z5-L01,ok,Track,192.168.123.248,-6,27616554.790527344,27616561.790527344
Z1-L09,ok,Track,192.168.123.191,-9,27565369.794189453,27565371.794189453
Z2-L09,ok,Track,192.168.123.221,-9,27615533.798583984,27615539.798583984
Z3-L05,ok,Track,192.168.123.224,-6,27667088.802978516,27667095.802978516
Z5-L04,ok,Track,192.168.123.226,-6,27743382.806884766,27726478.806884766
Z2-L02,ok,Track,192.168.123.215,-9,27725609.810058594,27725622.810058594
Z4-L09,ok,Track,192.168.123.168,-9,27694796.813720703,27692765.813720703
Z1-L14,ok,Track,192.168.123.227,-9,27705139.817382812,27705161.817382812
Z4-L11,ok,Track,192.168.123.185,-9,27740434.82055664,26501435.82055664
Z2-L04,ok,Track,192.168.123.190,-9,27777399.82421875,27758658.82421875
Z2-L05,ok,Track,192.168.123.217,-9,27538190.82763672,27538194.82763672
Z4-L06,ok,Track,192.168.123.249,-9,27728490.830810547,27728416.830810547
Z3-L12,ok,Track,192.168.123.238,-9,27703089.834228516,27690508.834228516
