Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,3536039.903076172,3536047.903076172
Z3-L07,ok,Track,192.168.123.234,-6,8890103.916015625,8890129.916015625
Z4-L08,ok,Track,192.168.123.154,-9,272223.9221191406,272232.9221191406
Z2-L08,ok,Track,192.168.123.213,-9,8766056.926513672,8766065.926513672
Z1-L13,ok,Track,192.168.123.218,-9,91181420.93164062,9106589.931640625
Z1-L05,ok,Track,192.168.123.152,-9,91214478.9362793,91214481.9362793
Z3-L09,ok,Track,192.168.123.173,-9,91213154.94067383,91213167.94067383
Z3-L10,ok,Track,192.168.123.242,-9,9050409.944824219,8976248.944824219
Z3-L06,ok,Track,192.168.123.236,-6,91227781.94970703,91227794.94970703
Z4-L07,ok,Track,192.168.123.178,-9,844556.9538574219,844562.9538574219
Z4-L03,ok,Track,192.168.123.225,-9,8853498.959960938,8852308.959960938
Z2-L01,ok,Track,192.168.123.247,-9,91218499.96533203,91218510.96533203
Z1-L12,ok,Track,192.168.123.209,-9,5061882.971435547,5061888.971435547
Z1-L04,ok,Track,192.168.123.176,-9,91216819.9753418,91214679.9753418
Z4-L05,ok,Track,192.168.123.235,-9,329235.97998046875,329236.97998046875
Z4-L04,ok,Track,192.168.123.239,-9,273233.984375,273238.984375
Z4-L01,ok,Track,192.168.123.186,-9,8792685.988769531,8792693.988769531
Z1-L03,ok,Track,192.168.123.163,-9,91196176.9934082,91196177.9934082
Z5-L03,ok,Track,192.168.123.198,-6,6064502.997558594,6064508.997558594
Z1-L07,ok,Track,192.168.123.181,-9,91170971.00195312,91170977.00195312
Z1-L08,ok,Track,192.168.123.189,-9,91217103.00610352,91214680.00610352
Z3-L03,ok,Track,192.168.123.167,-9,91222115.01074219,91222125.01074219
Z3-L04,ok,Track,192.168.123.212,-9,8850448.014892578,8850455.014892578
Z2-L03,ok,Track,192.168.123.196,-9,8763588.01928711,8763593.01928711
Z1-L11,ok,Track,192.168.123.184,-9,91173489.0234375,91173497.0234375
Z3-L02,ok,Track,192.168.123.161,-6,8862022.02758789,8862024.02758789
Z2-L06,ok,Track,192.168.123.245,-9,328235.0322265625,328243.0322265625
Z5-L02,ok,Track,192.168.123.244,-6,5087892.036376953,5087897.036376953
Z2-L07,ok,Track,192.168.123.229,-9,9098535.040771484,9089741.040771484
Z3-L11,ok,Track,192.168.123.201,-9,8946561.046142578,8946579.046142578
Z1-L10,ok,Track,192.168.123.246,-9,91238437.05078125,91215094.05078125
Z4-L02,ok,Track,192.168.123.240,-9,4670228.055175781,4670234.055175781
Z3-L01,ok,Track,192.168.123.228,-6,91199548.05908203,91199558.05908203
Z5-L01,ok,Track,192.168.123.248,-6,9133289.063720703,9049100.063720703
Z1-L09,ok,Track,192.168.123.191,-9,91170275.0678711,91170277.0678711
Z2-L09,ok,Track,192.168.123.221,-9,5734308.073974609,5734310.073974609
Z3-L05,ok,Track,192.168.123.224,-6,91250554.078125,91250572.078125
Z5-L04,ok,Track,192.168.123.226,-6,3425238.0825195312,3425246.0825195312
Z2-L02,ok,Track,192.168.123.215,-9,9084445.086914062,9084450.086914062
Z4-L09,ok,Track,192.168.123.168,-9,8763688.091308594,8763702.091308594
Z1-L14,ok,Track,192.168.123.227,-9,3537031.095703125,3537034.095703125
Z4-L11,ok,Track,192.168.123.185,-9,3360598.0998535156,3360607.0998535156
Z2-L04,ok,Track,192.168.123.190,-9,9062204.104492188,9062213.104492188
Z2-L05,ok,Track,192.168.123.217,-9,8766257.108886719,8766161.108886719
Z4-L06,ok,Track,192.168.123.249,-9,172019.11328125,14979.11328125
Z3-L12,ok,Track,192.168.123.238,-9,8787459.11743164,8787461.11743164
