Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608998794950.6729,1608998794950.6729
Z4-L08,ok,Track,192.168.123.154,-9,1608998794950.696,1608998794950.696
Z2-L08,ok,Track,192.168.123.156,-9,1608998794950.706,1608998794950.706
Z1-L13,ok,Track,192.168.123.165,-9,1608998794950.7148,1608998794950.7148
Z1-L05,ok,Track,192.168.123.152,-9,1608998794950.724,1608998794950.724
Z3-L09,ok,Track,192.168.123.173,-9,1608998794950.7324,1608998794950.7324
Z3-L10,ok,Track,192.168.123.225,-9,1608998794950.741,1608998794950.741
Z4-L03,waiting,Track,None,-9,1608998794950.7495,1608998794950.7495
Z4-L07,ok,Track,192.168.123.178,-9,1608998794950.7605,1608998794950.7605
Z1-L12,ok,Track,192.168.123.237,-9,1608998794950.7693,1608998794950.7693
Z1-L10,waiting,Track,None,-9,1608998794950.7773,1608998794950.7773
Z1-L04,ok,Track,192.168.123.176,-9,1608998794950.786,1608998794950.786
Z4-L05,waiting,Track,None,-9,1608998794950.7935,1608998794950.7935
Z4-L04,waiting,Track,None,-9,1608998794950.8018,1608998794950.8018
Z4-L01,waiting,Track,None,-9,1608998794950.8088,1608998794950.8088
Z1-L03,ok,Track,192.168.123.163,-9,1608998794950.814,1608998794950.814
Z1-L01,ok,Track,192.168.123.198,-9,1608998794950.831,1608998794950.831
Z1-L07,ok,Track,192.168.123.181,-9,1608998794950.8357,1608998794950.8357
Z1-L08,ok,Track,192.168.123.189,-9,1608998794950.8403,1608998794950.8403
Z3-L03,ok,Track,192.168.123.167,-9,1608998794950.845,1608998794950.845
Z3-L04,ok,Track,192.168.123.212,-9,1608998794950.8496,1608998794950.8496
Z2-L03,ok,Track,192.168.123.196,-9,1608998794950.8542,1608998794950.8542
Z1-L11,ok,Track,192.168.123.184,-9,1608998794950.859,1608998794950.859
Z3-L02,ok,Track,192.168.123.161,-9,1608998794950.8633,1608998794950.8633
Z2-L06,ok,Track,192.168.123.245,-9,1608998794950.8677,1608998794950.8677
Z1-L02,ok,Track,192.168.123.201,-9,1608998794950.8723,1608998794950.8723
Z2-L07,ok,Track,192.168.123.230,-9,1608998794950.8767,1608998794950.8767
Z4-L02,waiting,Track,None,-9,1608998794950.884,1608998794950.884
Z3-L01,ok,Track,192.168.123.228,-9,1608998794950.8914,1608998794950.8914
Z1-L09,ok,Track,192.168.123.191,-9,1608998794950.8958,1608998794950.8958
Z2-L09,ok,Moved,192.168.123.221,-9,1608998794950.9006,1608998794950.9006
Z2-L02,ok,Track,192.168.123.215,-9,1608998794950.9048,1608998794950.9048
Z4-L09,ok,Track,192.168.123.168,-9,1608998794950.9094,1608998794950.9094
Z1-L14,ok,Track,192.168.123.227,-9,1608998794950.9138,1608998794950.9138
Z2-L01,waiting,Track,None,-9,1608998794950.92,1608998794950.92
Z3-L11,waiting,Track,None,-9,1608998794950.9282,1608998794950.9282
Z4-L11,ok,Track,192.168.123.185,-9,1608998794950.933,1608998794950.933
Z2-L04,ok,Track,192.168.123.190,-9,1608998794950.9377,1608998794950.9377
Z2-L05,ok,Track,192.168.123.204,-9,1608998794950.9424,1608998794950.9424
Z4-L06,waiting,Track,None,-9,1608998794950.9468,1608998794950.9468
Z3-L12,ok,Track,192.168.123.193,-9,1608998794950.9531,1608998794950.9531
