Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,76061843.78564453,70588894.78564453
Z3-L07,ok,Track,192.168.123.234,-6,70521057.796875,70498498.796875
Z4-L08,ok,Track,192.168.123.154,-9,70564558.80175781,70560614.80175781
Z2-L08,ok,Track,192.168.123.213,-9,95348306.80541992,70604599.80541992
Z1-L13,ok,Track,192.168.123.218,-9,70445057.80908203,70445062.80908203
Z1-L05,ok,Track,192.168.123.152,-9,70460875.81274414,70460879.81274414
Z3-L09,ok,Track,192.168.123.173,-9,70470856.81591797,70470868.81591797
Z3-L10,ok,Track,192.168.123.242,-9,70550508.81958008,70540972.81958008
Z3-L06,ok,Track,192.168.123.236,-6,70479168.82299805,70479185.82299805
Z4-L07,ok,Track,192.168.123.178,-9,70540146.82641602,70540161.82641602
Z4-L03,ok,Track,192.168.123.225,-9,70520249.82983398,70520266.82983398
Z2-L01,ok,Track,192.168.123.247,-9,70473101.83325195,70473115.83325195
Z1-L12,ok,Track,192.168.123.209,-9,70511088.83642578,70507751.83642578
Z1-L04,ok,Track,192.168.123.176,-9,70450750.83984375,70450356.83984375
Z4-L05,ok,Track,192.168.123.235,-9,70531462.84326172,70520957.84326172
Z4-L04,ok,Track,192.168.123.239,-9,70528707.84643555,70520162.84643555
Z4-L01,ok,Track,192.168.123.186,-9,70465000.85083008,70465014.85083008
Z1-L03,ok,Track,192.168.123.163,-9,70414332.85473633,70414342.85473633
Z5-L03,ok,Track,192.168.123.198,-6,72587606.85766602,70596298.85766602
Z1-L07,ok,Track,192.168.123.181,-9,70428413.86108398,70428419.86108398
Z1-L08,ok,Track,192.168.123.189,-9,70466526.86450195,70466537.86450195
Z3-L03,ok,Track,192.168.123.167,-9,70472394.86767578,70472416.86767578
Z3-L04,ok,Track,192.168.123.212,-9,70495474.87084961,70479987.87084961
Z2-L03,ok,Track,192.168.123.196,-9,70480453.87426758,70480381.87426758
Z1-L11,ok,Track,192.168.123.184,-9,70422624.8774414,70422627.8774414
Z3-L02,ok,Track,192.168.123.161,-6,70464078.88085938,70464089.88085938
Z2-L06,ok,Track,192.168.123.245,-9,70561512.88427734,70561533.88427734
Z5-L02,ok,Track,192.168.123.244,-6,70474110.88720703,70472416.88720703
Z2-L07,ok,Track,192.168.123.229,-9,70446676.890625,70446684.890625
Z3-L11,ok,Track,192.168.123.201,-9,70458529.89404297,70458538.89404297
Z1-L10,ok,Track,192.168.123.246,-9,70451954.8972168,70451758.8972168
Z4-L02,ok,Track,192.168.123.240,-9,70518810.90014648,70518096.90014648
Z3-L01,ok,Track,192.168.123.228,-6,70442702.90356445,70442712.90356445
Z5-L01,ok,Track,192.168.123.248,-6,70481090.90698242,70478261.90698242
Z1-L09,ok,Track,192.168.123.191,-9,70418598.91015625,70418600.91015625
Z2-L09,ok,Track,192.168.123.221,-9,70451458.91503906,70451462.91503906
Z3-L05,ok,Track,192.168.123.224,-6,70480069.91821289,70480081.91821289
Z5-L04,ok,Track,192.168.123.226,-6,86429747.92163086,70567966.92163086
Z2-L02,ok,Track,192.168.123.215,-9,95370732.92456055,70575266.92456055
Z4-L09,ok,Track,192.168.123.168,-9,70563455.92773438,70562978.92773438
Z1-L14,ok,Track,192.168.123.227,-9,70567327.93115234,70555163.93115234
Z4-L11,ok,Track,192.168.123.185,-9,70605198.93457031,70598840.93457031
Z2-L04,ok,Track,192.168.123.190,-9,72585863.9375,72585873.9375
Z2-L05,ok,Track,192.168.123.217,-9,70399592.94116211,70399597.94116211
Z4-L06,ok,Track,192.168.123.249,-9,70581528.94433594,70573162.94433594
Z3-L12,ok,Track,192.168.123.238,-9,70554118.9477539,70530750.9477539
