Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609326595265.1218,1609326595265.1218
Z4-L08,ok,Track,192.168.123.154,-9,1609326595265.1343,1609326595265.1343
Z2-L08,ok,Track,192.168.123.156,-9,1609326595265.1384,1609326595265.1384
Z1-L13,ok,Track,192.168.123.165,-9,1609326595265.142,1609326595265.142
Z1-L05,ok,Track,192.168.123.152,-9,1609326595265.146,1609326595265.146
Z3-L09,ok,Track,192.168.123.173,-9,1609326595265.1494,1609326595265.1494
Z3-L10,ok,Track,192.168.123.225,-9,1609326595265.1528,1609326595265.1528
Z4-L03,waiting,Track,None,-9,1609326595265.1565,1609326595265.1565
Z4-L07,ok,Track,192.168.123.178,-9,1609326595265.1628,1609326595265.1628
Z1-L12,ok,Track,192.168.123.237,-9,1609326595265.1665,1609326595265.1665
Z1-L10,waiting,Track,None,-9,1609326595265.1714,1609326595265.1714
Z1-L04,ok,Track,192.168.123.176,-9,1609326595265.175,1609326595265.175
Z4-L05,waiting,Track,None,-9,1609326595265.1785,1609326595265.1785
Z4-L04,waiting,Track,None,-9,1609326595265.1824,1609326595265.1824
Z4-L01,waiting,Track,None,-9,1609326595265.1858,1609326595265.1858
Z1-L03,ok,Track,192.168.123.163,-9,1609326595265.1895,1609326595265.1895
Z1-L01,ok,Track,192.168.123.198,-9,1609326595265.1929,1609326595265.1929
Z1-L07,ok,Track,192.168.123.181,-9,1609326595265.1973,1609326595265.1973
Z1-L08,ok,Track,192.168.123.189,-9,1609326595265.201,1609326595265.201
Z3-L03,ok,Track,192.168.123.167,-9,1609326595265.2043,1609326595265.2043
Z3-L04,ok,Track,192.168.123.212,-9,1609326595265.2078,1609326595265.2078
Z2-L03,ok,Track,192.168.123.196,-9,1609326595265.2124,1609326595265.2124
Z1-L11,ok,Track,192.168.123.184,-9,1609326595265.216,1609326595265.216
Z3-L02,ok,Track,192.168.123.161,-9,1609326595265.2197,1609326595265.2197
Z2-L06,ok,Track,192.168.123.245,-9,1609326595265.224,1609326595265.224
Z1-L02,ok,Track,192.168.123.201,-9,1609326595265.2275,1609326595265.2275
Z2-L07,ok,Track,192.168.123.230,-9,1609326595265.2312,1609326595265.2312
Z4-L02,waiting,Track,None,-9,1609326595265.2344,1609326595265.2344
Z3-L01,ok,Track,192.168.123.228,-9,1609326595265.238,1609326595265.238
Z1-L09,ok,Track,192.168.123.191,-9,1609326595265.2415,1609326595265.2415
Z2-L09,ok,Moved,192.168.123.221,-9,1609326595265.2449,1609326595265.2449
Z2-L02,ok,Track,192.168.123.215,-9,1609326595265.2483,1609326595265.2483
Z4-L09,ok,Track,192.168.123.168,-9,1609326595265.253,1609326595265.253
Z1-L14,ok,Track,192.168.123.227,-9,1609326595265.2563,1609326595265.2563
Z2-L01,waiting,Track,None,-9,1609326595265.26,1609326595265.26
Z3-L11,waiting,Track,None,-9,1609326595265.265,1609326595265.265
Z4-L11,ok,Track,192.168.123.185,-9,1609326595265.2688,1609326595265.2688
Z2-L04,ok,Track,192.168.123.190,-9,1609326595265.2722,1609326595265.2722
Z2-L05,ok,Track,192.168.123.204,-9,1609326595265.2756,1609326595265.2756
Z4-L06,waiting,Track,None,-9,1609326595265.2793,1609326595265.2793
Z3-L12,ok,Track,192.168.123.193,-9,1609326595265.283,1609326595265.283
