Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609160479970.1987,1609160479970.1987
Z4-L08,ok,Track,192.168.123.154,-9,1609160479970.2146,1609160479970.2146
Z2-L08,ok,Track,192.168.123.156,-9,1609160479970.2202,1609160479970.2202
Z1-L13,ok,Track,192.168.123.165,-9,1609160479970.2249,1609160479970.2249
Z1-L05,ok,Track,192.168.123.152,-9,1609160479970.2295,1609160479970.2295
Z3-L09,ok,Track,192.168.123.173,-9,1609160479970.2336,1609160479970.2336
Z3-L10,ok,Track,192.168.123.225,-9,1609160479970.2378,1609160479970.2378
Z4-L03,waiting,Track,None,-9,1609160479970.2417,1609160479970.2417
Z4-L07,ok,Track,192.168.123.178,-9,1609160479970.2485,1609160479970.2485
Z1-L12,ok,Track,192.168.123.237,-9,1609160479970.2524,1609160479970.2524
Z1-L10,waiting,Track,None,-9,1609160479970.2563,1609160479970.2563
Z1-L04,ok,Track,192.168.123.176,-9,1609160479970.261,1609160479970.261
Z4-L05,waiting,Track,None,-9,1609160479970.2651,1609160479970.2651
Z4-L04,waiting,Track,None,-9,1609160479970.2695,1609160479970.2695
Z4-L01,waiting,Track,None,-9,1609160479970.2734,1609160479970.2734
Z1-L03,ok,Track,192.168.123.163,-9,1609160479970.2778,1609160479970.2778
Z1-L01,ok,Track,192.168.123.198,-9,1609160479970.2817,1609160479970.2817
Z1-L07,ok,Track,192.168.123.181,-9,1609160479970.2856,1609160479970.2856
Z1-L08,ok,Track,192.168.123.189,-9,1609160479970.2896,1609160479970.2896
Z3-L03,ok,Track,192.168.123.167,-9,1609160479970.2935,1609160479970.2935
Z3-L04,ok,Track,192.168.123.212,-9,1609160479970.2988,1609160479970.2988
Z2-L03,ok,Track,192.168.123.196,-9,1609160479970.303,1609160479970.303
Z1-L11,ok,Track,192.168.123.184,-9,1609160479970.3071,1609160479970.3071
Z3-L02,ok,Track,192.168.123.161,-9,1609160479970.311,1609160479970.311
Z2-L06,ok,Track,192.168.123.245,-9,1609160479970.3147,1609160479970.3147
Z1-L02,ok,Track,192.168.123.201,-9,1609160479970.3188,1609160479970.3188
Z2-L07,ok,Track,192.168.123.230,-9,1609160479970.3225,1609160479970.3225
Z4-L02,waiting,Track,None,-9,1609160479970.327,1609160479970.327
Z3-L01,ok,Track,192.168.123.228,-9,1609160479970.331,1609160479970.331
Z1-L09,ok,Track,192.168.123.191,-9,1609160479970.3347,1609160479970.3347
Z2-L09,ok,Moved,192.168.123.221,-9,1609160479970.3386,1609160479970.3386
Z2-L02,ok,Track,192.168.123.215,-9,1609160479970.3423,1609160479970.3423
Z4-L09,ok,Track,192.168.123.168,-9,1609160479970.3462,1609160479970.3462
Z1-L14,ok,Track,192.168.123.227,-9,1609160479970.35,1609160479970.35
Z2-L01,waiting,Track,None,-9,1609160479970.3538,1609160479970.3538
Z3-L11,waiting,Track,None,-9,1609160479970.3596,1609160479970.3596
Z4-L11,ok,Track,192.168.123.185,-9,1609160479970.3635,1609160479970.3635
Z2-L04,ok,Track,192.168.123.190,-9,1609160479970.3677,1609160479970.3677
Z2-L05,ok,Track,192.168.123.204,-9,1609160479970.3716,1609160479970.3716
Z4-L06,waiting,Track,None,-9,1609160479970.375,1609160479970.375
Z3-L12,ok,Track,192.168.123.193,-9,1609160479970.3796,1609160479970.3796
