Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608607686974.7178,1608607686974.7178
Z4-L08,ok,Track,192.168.123.154,-9,1608607686974.7317,1608607686974.7317
Z2-L08,ok,Track,192.168.123.156,-9,1608607686974.7366,1608607686974.7366
Z1-L13,ok,Track,192.168.123.165,-9,1608607686974.7407,1608607686974.7407
Z1-L05,ok,Track,192.168.123.152,-9,1608607686974.7454,1608607686974.7454
Z3-L09,ok,Track,192.168.123.173,-9,1608607686974.7493,1608607686974.7493
Z3-L10,ok,Track,192.168.123.225,-9,1608607686974.7534,1608607686974.7534
Z4-L03,waiting,Track,None,-9,1608607686974.7573,1608607686974.7573
Z4-L07,ok,Track,192.168.123.178,-9,1608607686974.7632,1608607686974.7632
Z1-L12,ok,Track,192.168.123.237,-9,1608607686974.7673,1608607686974.7673
Z1-L10,waiting,Track,None,-9,1608607686974.7712,1608607686974.7712
Z1-L04,ok,Track,192.168.123.176,-9,1608607686974.7754,1608607686974.7754
Z4-L05,waiting,Track,None,-9,1608607686974.7793,1608607686974.7793
Z4-L04,waiting,Track,None,-9,1608607686974.7834,1608607686974.7834
Z4-L01,waiting,Track,None,-9,1608607686974.7878,1608607686974.7878
Z1-L03,ok,Track,192.168.123.163,-9,1608607686974.792,1608607686974.792
Z1-L01,ok,Track,192.168.123.198,-9,1608607686974.7961,1608607686974.7961
Z1-L07,ok,Track,192.168.123.181,-9,1608607686974.7998,1608607686974.7998
Z1-L08,ok,Track,192.168.123.189,-9,1608607686974.805,1608607686974.805
Z3-L03,ok,Track,192.168.123.167,-9,1608607686974.809,1608607686974.809
Z3-L04,ok,Track,192.168.123.212,-9,1608607686974.8132,1608607686974.8132
Z2-L03,ok,Track,192.168.123.196,-9,1608607686974.8271,1608607686974.8271
Z1-L11,ok,Track,192.168.123.184,-9,1608607686974.831,1608607686974.831
Z3-L02,ok,Track,192.168.123.161,-9,1608607686974.8352,1608607686974.8352
Z2-L06,ok,Track,192.168.123.245,-9,1608607686974.8389,1608607686974.8389
Z1-L02,ok,Track,192.168.123.201,-9,1608607686974.843,1608607686974.843
Z2-L07,ok,Track,192.168.123.230,-9,1608607686974.8472,1608607686974.8472
Z4-L02,waiting,Track,None,-9,1608607686974.851,1608607686974.851
Z3-L01,ok,Track,192.168.123.228,-9,1608607686974.8552,1608607686974.8552
Z1-L09,ok,Track,192.168.123.191,-9,1608607686974.8591,1608607686974.8591
Z2-L09,ok,Moved,192.168.123.221,-9,1608607686974.863,1608607686974.863
Z2-L02,ok,Track,192.168.123.215,-9,1608607686974.867,1608607686974.867
Z4-L09,ok,Track,192.168.123.168,-9,1608607686974.871,1608607686974.871
Z1-L14,ok,Track,192.168.123.227,-9,1608607686974.875,1608607686974.875
Z2-L01,waiting,Track,None,-9,1608607686974.879,1608607686974.879
Z3-L11,waiting,Track,None,-9,1608607686974.8848,1608607686974.8848
Z4-L11,ok,Track,192.168.123.185,-9,1608607686974.8892,1608607686974.8892
Z2-L04,ok,Track,192.168.123.190,-9,1608607686974.893,1608607686974.893
Z2-L05,ok,Track,192.168.123.204,-9,1608607686974.8972,1608607686974.8972
Z4-L06,waiting,Track,None,-9,1608607686974.901,1608607686974.901
Z3-L12,ok,Track,192.168.123.193,-9,1608607686974.905,1608607686974.905
