Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609298121109.944,1609298121109.944
Z4-L08,ok,Track,192.168.123.154,-9,1609298121109.9573,1609298121109.9573
Z2-L08,ok,Track,192.168.123.156,-9,1609298121109.9617,1609298121109.9617
Z1-L13,ok,Track,192.168.123.165,-9,1609298121109.9653,1609298121109.9653
Z1-L05,ok,Track,192.168.123.152,-9,1609298121109.969,1609298121109.969
Z3-L09,ok,Track,192.168.123.173,-9,1609298121109.9724,1609298121109.9724
Z3-L10,ok,Track,192.168.123.225,-9,1609298121109.9758,1609298121109.9758
Z4-L03,waiting,Track,None,-9,1609298121109.9792,1609298121109.9792
Z4-L07,ok,Track,192.168.123.178,-9,1609298121109.9841,1609298121109.9841
Z1-L12,ok,Track,192.168.123.237,-9,1609298121109.9875,1609298121109.9875
Z1-L10,waiting,Track,None,-9,1609298121109.9907,1609298121109.9907
Z1-L04,ok,Track,192.168.123.176,-9,1609298121109.9958,1609298121109.9958
Z4-L05,waiting,Track,None,-9,1609298121109.9993,1609298121109.9993
Z4-L04,waiting,Track,None,-9,1609298121110.0027,1609298121110.0027
Z4-L01,waiting,Track,None,-9,1609298121110.0066,1609298121110.0066
Z1-L03,ok,Track,192.168.123.163,-9,1609298121110.0103,1609298121110.0103
Z1-L01,ok,Track,192.168.123.198,-9,1609298121110.0134,1609298121110.0134
Z1-L07,ok,Track,192.168.123.181,-9,1609298121110.0168,1609298121110.0168
Z1-L08,ok,Track,192.168.123.189,-9,1609298121110.0203,1609298121110.0203
Z3-L03,ok,Track,192.168.123.167,-9,1609298121110.0234,1609298121110.0234
Z3-L04,ok,Track,192.168.123.212,-9,1609298121110.0269,1609298121110.0269
Z2-L03,ok,Track,192.168.123.196,-9,1609298121110.0303,1609298121110.0303
Z1-L11,ok,Track,192.168.123.184,-9,1609298121110.0334,1609298121110.0334
Z3-L02,ok,Track,192.168.123.161,-9,1609298121110.0364,1609298121110.0364
Z2-L06,ok,Track,192.168.123.245,-9,1609298121110.0398,1609298121110.0398
Z1-L02,ok,Track,192.168.123.201,-9,1609298121110.043,1609298121110.043
Z2-L07,ok,Track,192.168.123.230,-9,1609298121110.0464,1609298121110.0464
Z4-L02,waiting,Track,None,-9,1609298121110.0498,1609298121110.0498
Z3-L01,ok,Track,192.168.123.228,-9,1609298121110.0532,1609298121110.0532
Z1-L09,ok,Track,192.168.123.191,-9,1609298121110.0566,1609298121110.0566
Z2-L09,ok,Moved,192.168.123.221,-9,1609298121110.06,1609298121110.06
Z2-L02,ok,Track,192.168.123.215,-9,1609298121110.063,1609298121110.063
Z4-L09,ok,Track,192.168.123.168,-9,1609298121110.0664,1609298121110.0664
Z1-L14,ok,Track,192.168.123.227,-9,1609298121110.0698,1609298121110.0698
Z2-L01,waiting,Track,None,-9,1609298121110.073,1609298121110.073
Z3-L11,waiting,Track,None,-9,1609298121110.0776,1609298121110.0776
Z4-L11,ok,Track,192.168.123.185,-9,1609298121110.0825,1609298121110.0825
Z2-L04,ok,Track,192.168.123.190,-9,1609298121110.086,1609298121110.086
Z2-L05,ok,Track,192.168.123.204,-9,1609298121110.0894,1609298121110.0894
Z4-L06,waiting,Track,None,-9,1609298121110.0925,1609298121110.0925
Z3-L12,ok,Track,192.168.123.193,-9,1609298121110.096,1609298121110.096
