Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,72893839.9206543,72893846.9206543
Z3-L07,ok,Track,192.168.123.234,-6,202785058.93237305,202762499.93237305
Z4-L08,ok,Track,192.168.123.154,-9,36604017.93725586,33560349.93725586
Z2-L08,ok,Track,192.168.123.213,-9,227612307.94140625,202868600.94140625
Z1-L13,ok,Track,192.168.123.218,-9,202709058.94555664,202709063.94555664
Z1-L05,ok,Track,192.168.123.152,-9,202724876.94970703,202724880.94970703
Z3-L09,ok,Track,192.168.123.173,-9,202734857.95361328,202734869.95361328
Z3-L10,ok,Track,192.168.123.242,-9,202814509.95703125,202804973.95703125
Z3-L06,ok,Track,192.168.123.236,-6,202743169.9609375,202743186.9609375
Z4-L07,ok,Track,192.168.123.178,-9,36611002.96484375,33561351.96484375
Z4-L03,ok,Track,192.168.123.225,-9,202784250.96850586,202784267.96850586
Z2-L01,ok,Track,192.168.123.247,-9,202737102.9724121,202737116.9724121
Z1-L12,ok,Track,192.168.123.209,-9,49093931.97583008,49093937.97583008
Z1-L04,ok,Track,192.168.123.176,-9,202714751.97973633,202714357.97973633
Z4-L05,ok,Track,192.168.123.235,-9,36604008.98339844,33559346.98339844
Z4-L04,ok,Track,192.168.123.239,-9,36604016.98828125,33559346.98828125
Z4-L01,ok,Track,192.168.123.186,-9,202729001.99194336,202729015.99194336
Z1-L03,ok,Track,192.168.123.163,-9,202678333.99560547,202678343.99560547
Z5-L03,ok,Track,192.168.123.198,-6,36604018.99951172,36604026.99951172
Z1-L07,ok,Track,192.168.123.181,-9,202692415.00317383,202692421.00317383
Z1-L08,ok,Track,192.168.123.189,-9,202730528.0065918,202730539.0065918
Z3-L03,ok,Track,192.168.123.167,-9,202736396.01049805,202736418.01049805
Z3-L04,ok,Track,192.168.123.212,-9,202759476.01416016,202743989.01416016
Z2-L03,ok,Track,192.168.123.196,-9,46461677.017822266,45978356.017822266
Z1-L11,ok,Track,192.168.123.184,-9,202686626.02148438,202686629.02148438
Z3-L02,ok,Track,192.168.123.161,-6,202728080.02563477,202728091.02563477
Z2-L06,ok,Track,192.168.123.245,-9,36646102.029296875,36646107.029296875
Z5-L02,ok,Track,192.168.123.244,-6,36612016.032958984,36612018.032958984
Z2-L07,ok,Track,192.168.123.229,-9,202710678.0366211,202710686.0366211
Z3-L11,ok,Track,192.168.123.201,-9,202722531.0415039,202722540.0415039
Z1-L10,ok,Track,192.168.123.246,-9,202715956.04516602,202715760.04516602
Z4-L02,ok,Track,192.168.123.240,-9,36611004.048828125,36611024.048828125
Z3-L01,ok,Track,192.168.123.228,-6,202706704.05395508,202706714.05395508
Z5-L01,ok,Track,192.168.123.248,-6,74497988.05761719,74497991.05761719
Z1-L09,ok,Track,192.168.123.191,-9,202682600.06152344,202682602.06152344
Z2-L09,ok,Track,192.168.123.221,-9,202715460.06762695,202715464.06762695
Z3-L05,ok,Track,192.168.123.224,-6,202744071.0715332,202744083.0715332
Z5-L04,ok,Track,192.168.123.226,-6,218693749.0751953,33072709.075195312
Z2-L02,ok,Track,192.168.123.215,-9,227634734.07983398,202839268.07983398
Z4-L09,ok,Track,192.168.123.168,-9,36618019.083496094,36618031.083496094
Z1-L14,ok,Track,192.168.123.227,-9,36652107.0871582,36652127.0871582
Z4-L11,ok,Track,192.168.123.185,-9,36603019.09106445,33559347.09106445
Z2-L04,ok,Track,192.168.123.190,-9,36604018.0949707,33564367.0949707
Z2-L05,ok,Track,192.168.123.217,-9,202663594.09838867,202663599.09838867
Z4-L06,ok,Track,192.168.123.249,-9,36604017.10205078,33560350.10205078
Z3-L12,ok,Track,192.168.123.238,-9,61166254.10668945,61166262.10668945
