Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,52254678.3605957,52246853.3605957
Z3-L07,ok,Track,192.168.123.234,-6,52299959.37133789,52299980.37133789
Z4-L08,ok,Track,192.168.123.154,-9,35301397.37573242,35301409.37573242
Z2-L08,ok,Track,192.168.123.213,-9,38696577.37963867,38696584.37963867
Z1-L13,ok,Track,192.168.123.218,-9,52171413.38354492,52171419.38354492
Z1-L05,ok,Track,192.168.123.152,-9,52204471.38720703,52204474.38720703
Z3-L09,ok,Track,192.168.123.173,-9,52203147.39111328,52203160.39111328
Z3-L10,ok,Track,192.168.123.242,-9,78495592.39477539,78483159.39477539
Z3-L06,ok,Track,192.168.123.236,-6,52217774.3984375,52217787.3984375
Z4-L07,ok,Track,192.168.123.178,-9,35303409.40234375,35303413.40234375
Z4-L03,ok,Track,192.168.123.225,-9,52250769.40600586,52250787.40600586
Z2-L01,ok,Track,192.168.123.247,-9,52208492.41113281,52208503.41113281
Z1-L12,ok,Track,192.168.123.209,-9,40346942.41479492,40346947.41479492
Z1-L04,ok,Track,192.168.123.176,-9,52206812.41845703,52204672.41845703
Z4-L05,ok,Track,192.168.123.235,-9,35301397.42236328,35301409.42236328
Z4-L04,ok,Track,192.168.123.239,-9,37010414.42675781,37010420.42675781
Z4-L01,ok,Track,192.168.123.186,-9,52196951.43066406,52196960.43066406
Z1-L03,ok,Track,192.168.123.163,-9,52186169.43457031,52186170.43457031
Z5-L03,ok,Track,192.168.123.198,-6,38827551.43798828,38827553.43798828
Z1-L07,ok,Track,192.168.123.181,-9,52160963.442871094,52160969.442871094
Z1-L08,ok,Track,192.168.123.189,-9,52207095.447021484,52204672.447021484
Z3-L03,ok,Track,192.168.123.167,-9,52212107.450927734,52212117.450927734
Z3-L04,ok,Track,192.168.123.212,-9,78493568.45458984,78493574.45458984
Z2-L03,ok,Track,192.168.123.196,-9,38702579.45825195,38699590.45825195
Z1-L11,ok,Track,192.168.123.184,-9,52163481.46191406,52163489.46191406
Z3-L02,ok,Track,192.168.123.161,-6,38696567.46557617,38696585.46557617
Z2-L06,ok,Track,192.168.123.245,-9,38691575.4699707,38691582.4699707
Z5-L02,ok,Track,192.168.123.244,-6,38747576.47387695,38747588.47387695
Z2-L07,ok,Track,192.168.123.229,-9,52229238.47705078,52225773.47705078
Z3-L11,ok,Track,192.168.123.201,-9,52200033.48095703,52200038.48095703
Z1-L10,ok,Track,192.168.123.246,-9,52228429.48461914,52205086.48461914
Z4-L02,ok,Track,192.168.123.240,-9,38695575.48828125,38695586.48828125
Z3-L01,ok,Track,192.168.123.228,-6,52189540.4921875,52189550.4921875
Z5-L01,ok,Track,192.168.123.248,-6,52237876.49584961,52230882.49584961
Z1-L09,ok,Track,192.168.123.191,-9,52160267.49926758,52160269.49926758
Z2-L09,ok,Track,192.168.123.221,-9,39125763.50415039,39125767.50415039
Z3-L05,ok,Track,192.168.123.224,-6,52240546.50756836,52240564.50756836
Z5-L04,ok,Track,192.168.123.226,-6,38828540.51269531,37027431.51269531
Z2-L02,ok,Track,192.168.123.215,-9,38696576.51660156,38696585.51660156
Z4-L09,ok,Track,192.168.123.168,-9,38551483.52001953,38549491.52001953
Z1-L14,ok,Track,192.168.123.227,-9,38691574.52368164,38691584.52368164
Z4-L11,ok,Track,192.168.123.185,-9,35302398.52734375,35302408.52734375
Z2-L04,ok,Track,192.168.123.190,-9,38696575.53198242,38696585.53198242
Z2-L05,ok,Track,192.168.123.217,-9,52144010.53564453,52144011.53564453
Z4-L06,ok,Track,192.168.123.249,-9,35300404.53930664,35300415.53930664
Z3-L12,ok,Track,192.168.123.238,-9,40209759.54296875,40209767.54296875
