Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,80.39794921875,88.39794921875
Z4-L08,ok,Track,192.168.123.154,-9,2238.421142578125,27.421142578125
Z2-L08,ok,Track,192.168.123.156,-9,70489.43212890625,1938.43212890625
Z1-L13,ok,Track,192.168.123.165,-9,302007.44189453125,52775.44189453125
Z1-L05,ok,Track,192.168.123.152,-9,131.451904296875,141.451904296875
Z3-L09,ok,Track,192.168.123.173,-9,102.460693359375,112.460693359375
Z3-L10,ok,Track,192.168.123.225,-9,4252.468994140625,2704.468994140625
Z4-L03,waiting,Track,None,-9,1607948627891.478,2704.47802734375
Z4-L07,ok,Track,192.168.123.178,-9,23.489501953125,26.489501953125
Z1-L12,ok,Track,192.168.123.237,-9,73.498291015625,88.498291015625
Z1-L10,waiting,Track,None,-9,1607948627891.5063,88.50634765625
Z1-L04,ok,Track,192.168.123.176,-9,41.515869140625,47.515869140625
Z4-L05,failed,Track,192.168.123.235,-9,864498529.5244141,864498536.5244141
Z4-L04,failed,Track,192.168.123.226,-9,864498531.5332031,864498536.5332031
Z4-L01,failed,Track,192.168.123.186,-9,864498521.541748,864498536.541748
Z1-L03,ok,Track,192.168.123.163,-9,132.550048828125,141.550048828125
Z1-L01,ok,Track,192.168.123.198,-9,194144989.5583496,194144994.5583496
Z1-L07,ok,Track,192.168.123.181,-9,95578.56640625,95585.56640625
Z1-L08,ok,Track,192.168.123.189,-9,41.5751953125,7.5751953125
Z3-L03,ok,Track,192.168.123.167,-9,42.5830078125,46.5830078125
Z3-L04,ok,Track,192.168.123.212,-9,43.59033203125,5.59033203125
Z2-L03,ok,Track,192.168.123.196,-9,232.5986328125,243.5986328125
Z1-L11,ok,Track,192.168.123.184,-9,40.6064453125,47.6064453125
Z3-L02,ok,Track,192.168.123.161,-9,194112370.61376953,194112378.61376953
Z2-L06,ok,Track,192.168.123.245,-9,22.6220703125,27.6220703125
Z1-L02,ok,Track,192.168.123.201,-9,194143655.63012695,194143665.63012695
Z2-L07,ok,Track,192.168.123.230,-9,91213.638671875,65539.638671875
Z4-L02,failed,Track,192.168.123.188,-9,864498511.6469727,864498536.6469727
Z3-L01,ok,Track,192.168.123.228,-9,194159726.65527344,194158367.65527344
Z1-L09,ok,Track,192.168.123.191,-9,953.66357421875,141.66357421875
Z2-L09,ok,Moved,192.168.123.221,-9,1036968515.6716309,1036968526.6716309
Z2-L02,ok,Track,192.168.123.215,-9,6789.6796875,5116.6796875
Z4-L09,ok,Track,192.168.123.168,-9,73.687255859375,88.687255859375
Z1-L14,ok,Track,192.168.123.227,-9,81.694580078125,88.694580078125
Z2-L01,waiting,Track,None,-9,1607948627891.7021,88.7021484375
Z3-L11,waiting,Track,None,-9,1607948627891.7131,88.713134765625
Z4-L11,ok,Track,192.168.123.185,-9,474.72119140625,27.72119140625
Z2-L04,ok,Track,192.168.123.190,-9,43362.728759765625,43378.728759765625
Z2-L05,ok,Track,192.168.123.204,-9,416.736572265625,427.736572265625
Z4-L06,failed,Track,192.168.123.249,-9,864498965.7446289,864498839.7446289
Z3-L12,ok,Track,192.168.123.193,-9,83.754150390625,86.754150390625
