Z1-L06,ok,Track,192.168.123.194,-9,96053226.16992188,96052957.16992188
Z4-L08,ok,Track,192.168.123.154,-9,98153634.1875,97877360.1875
Z2-L08,ok,Track,192.168.123.156,-9,97896409.19360352,97891591.19360352
Z1-L13,ok,Track,192.168.123.165,-9,96026622.19873047,96025912.19873047
Z1-L05,ok,Track,192.168.123.152,-9,96035731.20336914,96035743.20336914
Z3-L09,ok,Track,192.168.123.173,-9,96033839.20776367,96033841.20776367
Z3-L10,ok,Track,192.168.123.225,-9,96252800.21166992,96184468.21166992
Z4-L03,waiting,Track,None,-9,1607887397615.216,96184468.21606445
Z4-L07,ok,Track,192.168.123.178,-9,96214549.22290039,96214568.22290039
Z1-L12,ok,Track,192.168.123.237,-9,96052237.22753906,96045984.22753906
Z1-L10,waiting,Track,None,-9,1607887397615.2314,96045984.23144531
Z1-L04,ok,Track,192.168.123.176,-9,96031997.23632812,96032003.23632812
Z4-L05,failed,Track,192.168.123.235,-9,803268253.2402344,803268260.2402344
Z4-L04,failed,Track,192.168.123.226,-9,803268255.2451172,803268260.2451172
Z4-L01,failed,Track,192.168.123.186,-9,803268245.2495117,803268260.2495117
Z1-L03,ok,Track,192.168.123.163,-9,96019600.25366211,96019602.25366211
Z1-L01,ok,Track,192.168.123.198,-9,132914713.25878906,132914718.25878906
Z1-L07,ok,Track,192.168.123.181,-9,96019712.2631836,96019715.2631836
Z1-L08,ok,Track,192.168.123.189,-9,96035230.26733398,96035232.26733398
Z3-L03,ok,Track,192.168.123.167,-9,96037128.27148438,96037135.27148438
Z3-L04,ok,Track,192.168.123.212,-9,96042668.27612305,96041345.27612305
Z2-L03,ok,Track,192.168.123.196,-9,96038257.28027344,96038263.28027344
Z1-L11,ok,Track,192.168.123.184,-9,96023979.28442383,96023986.28442383
Z3-L02,ok,Track,192.168.123.161,-9,132882094.28833008,132882102.28833008
Z2-L06,ok,Track,192.168.123.245,-9,97881052.29296875,97881071.29296875
Z1-L02,ok,Track,192.168.123.201,-9,132913379.29711914,132913389.29711914
Z2-L07,ok,Track,192.168.123.230,-9,96034230.30151367,96034238.30151367
Z4-L02,failed,Track,192.168.123.188,-9,803268235.3056641,803268260.3056641
Z3-L01,ok,Track,192.168.123.228,-9,132929450.31054688,132928091.31054688
Z1-L09,ok,Track,192.168.123.191,-9,96019408.31469727,96019410.31469727
Z2-L09,ok,Moved,192.168.123.221,-9,975738239.3190918,975738250.3190918
Z2-L02,ok,Track,192.168.123.215,-9,96042181.32324219,96042189.32324219
Z4-L09,ok,Track,192.168.123.168,-9,96215890.32788086,96215893.32788086
Z1-L14,ok,Track,192.168.123.227,-9,96055104.33374023,96055125.33374023
Z2-L01,waiting,Track,None,-9,1607887397615.3386,96055125.33862305
Z3-L11,waiting,Track,None,-9,1607887397615.3428,96055125.34277344
Z4-L11,ok,Track,192.168.123.185,-9,97891877.3491211,97888462.3491211
Z2-L04,ok,Track,192.168.123.190,-9,97893977.35327148,97893984.35327148
Z2-L05,ok,Track,192.168.123.204,-9,96024786.35742188,96024788.35742188
Z4-L06,failed,Track,192.168.123.249,-9,803268689.3615723,803268563.3615723
Z3-L12,ok,Track,192.168.123.193,-9,96215669.3659668,96183541.3659668
