Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608979806122.7712,1608979806122.7712
Z4-L08,ok,Track,192.168.123.154,-9,1608979806122.7854,1608979806122.7854
Z2-L08,ok,Track,192.168.123.156,-9,1608979806122.7896,1608979806122.7896
Z1-L13,ok,Track,192.168.123.165,-9,1608979806122.7932,1608979806122.7932
Z1-L05,ok,Track,192.168.123.152,-9,1608979806122.797,1608979806122.797
Z3-L09,ok,Track,192.168.123.173,-9,1608979806122.8003,1608979806122.8003
Z3-L10,ok,Track,192.168.123.225,-9,1608979806122.8315,1608979806122.8315
Z4-L03,waiting,Track,None,-9,1608979806122.8384,1608979806122.8384
Z4-L07,ok,Track,192.168.123.178,-9,1608979806122.8518,1608979806122.8518
Z1-L12,ok,Track,192.168.123.237,-9,1608979806122.8584,1608979806122.8584
Z1-L10,waiting,Track,None,-9,1608979806122.865,1608979806122.865
Z1-L04,ok,Track,192.168.123.176,-9,1608979806122.879,1608979806122.879
Z4-L05,waiting,Track,None,-9,1608979806122.8833,1608979806122.8833
Z4-L04,waiting,Track,None,-9,1608979806122.8882,1608979806122.8882
Z4-L01,waiting,Track,None,-9,1608979806122.8923,1608979806122.8923
Z1-L03,ok,Track,192.168.123.163,-9,1608979806122.8965,1608979806122.8965
Z1-L01,ok,Track,192.168.123.198,-9,1608979806122.9006,1608979806122.9006
Z1-L07,ok,Track,192.168.123.181,-9,1608979806122.9048,1608979806122.9048
Z1-L08,ok,Track,192.168.123.189,-9,1608979806122.909,1608979806122.909
Z3-L03,ok,Track,192.168.123.167,-9,1608979806122.9133,1608979806122.9133
Z3-L04,ok,Track,192.168.123.212,-9,1608979806122.9177,1608979806122.9177
Z2-L03,ok,Track,192.168.123.196,-9,1608979806122.9216,1608979806122.9216
Z1-L11,ok,Track,192.168.123.184,-9,1608979806122.9255,1608979806122.9255
Z3-L02,ok,Track,192.168.123.161,-9,1608979806122.9307,1608979806122.9307
Z2-L06,ok,Track,192.168.123.245,-9,1608979806122.935,1608979806122.935
Z1-L02,ok,Track,192.168.123.201,-9,1608979806122.9392,1608979806122.9392
Z2-L07,ok,Track,192.168.123.230,-9,1608979806122.9446,1608979806122.9446
Z4-L02,waiting,Track,None,-9,1608979806122.9487,1608979806122.9487
Z3-L01,ok,Track,192.168.123.228,-9,1608979806122.953,1608979806122.953
Z1-L09,ok,Track,192.168.123.191,-9,1608979806122.957,1608979806122.957
Z2-L09,ok,Moved,192.168.123.221,-9,1608979806122.9624,1608979806122.9624
Z2-L02,ok,Track,192.168.123.215,-9,1608979806122.9668,1608979806122.9668
Z4-L09,ok,Track,192.168.123.168,-9,1608979806122.9707,1608979806122.9707
Z1-L14,ok,Track,192.168.123.227,-9,1608979806122.9746,1608979806122.9746
Z2-L01,waiting,Track,None,-9,1608979806122.979,1608979806122.979
Z3-L11,waiting,Track,None,-9,1608979806122.9854,1608979806122.9854
Z4-L11,ok,Track,192.168.123.185,-9,1608979806122.99,1608979806122.99
Z2-L04,ok,Track,192.168.123.190,-9,1608979806122.994,1608979806122.994
Z2-L05,ok,Track,192.168.123.204,-9,1608979806122.9978,1608979806122.9978
Z4-L06,waiting,Track,None,-9,1608979806123.0015,1608979806123.0015
Z3-L12,ok,Track,192.168.123.193,-9,1608979806123.0059,1608979806123.0059
