Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1609423727453.4956,1609423727453.4956
Z4-L08,ok,Track,192.168.123.154,-9,1609423727453.5083,1609423727453.5083
Z2-L08,ok,Track,192.168.123.156,-9,1609423727453.5125,1609423727453.5125
Z1-L13,ok,Track,192.168.123.165,-9,1609423727453.5166,1609423727453.5166
Z1-L05,ok,Track,192.168.123.152,-9,1609423727453.52,1609423727453.52
Z3-L09,ok,Track,192.168.123.173,-9,1609423727453.524,1609423727453.524
Z3-L10,ok,Track,192.168.123.225,-9,1609423727453.5273,1609423727453.5273
Z4-L03,waiting,Track,None,-9,1609423727453.5325,1609423727453.5325
Z4-L07,ok,Track,192.168.123.178,-9,1609423727453.5376,1609423727453.5376
Z1-L12,ok,Track,192.168.123.237,-9,1609423727453.5413,1609423727453.5413
Z1-L10,waiting,Track,None,-9,1609423727453.5461,1609423727453.5461
Z1-L04,ok,Track,192.168.123.176,-9,1609423727453.5496,1609423727453.5496
Z4-L05,waiting,Track,None,-9,1609423727453.5547,1609423727453.5547
Z4-L04,waiting,Track,None,-9,1609423727453.558,1609423727453.558
Z4-L01,waiting,Track,None,-9,1609423727453.562,1609423727453.562
Z1-L03,ok,Track,192.168.123.163,-9,1609423727453.5671,1609423727453.5671
Z1-L01,ok,Track,192.168.123.198,-9,1609423727453.5706,1609423727453.5706
Z1-L07,ok,Track,192.168.123.181,-9,1609423727453.5742,1609423727453.5742
Z1-L08,ok,Track,192.168.123.189,-9,1609423727453.5786,1609423727453.5786
Z3-L03,ok,Track,192.168.123.167,-9,1609423727453.5823,1609423727453.5823
Z3-L04,ok,Track,192.168.123.212,-9,1609423727453.586,1609423727453.586
Z2-L03,ok,Track,192.168.123.196,-9,1609423727453.589,1609423727453.589
Z1-L11,ok,Track,192.168.123.184,-9,1609423727453.5928,1609423727453.5928
Z3-L02,ok,Track,192.168.123.161,-9,1609423727453.5964,1609423727453.5964
Z2-L06,ok,Track,192.168.123.245,-9,1609423727453.5999,1609423727453.5999
Z1-L02,ok,Track,192.168.123.201,-9,1609423727453.6033,1609423727453.6033
Z2-L07,ok,Track,192.168.123.230,-9,1609423727453.607,1609423727453.607
Z4-L02,waiting,Track,None,-9,1609423727453.61,1609423727453.61
Z3-L01,ok,Track,192.168.123.228,-9,1609423727453.6138,1609423727453.6138
Z1-L09,ok,Track,192.168.123.191,-9,1609423727453.6174,1609423727453.6174
Z2-L09,ok,Moved,192.168.123.221,-9,1609423727453.6206,1609423727453.6206
Z2-L02,ok,Track,192.168.123.215,-9,1609423727453.6255,1609423727453.6255
Z4-L09,ok,Track,192.168.123.168,-9,1609423727453.629,1609423727453.629
Z1-L14,ok,Track,192.168.123.227,-9,1609423727453.6323,1609423727453.6323
Z2-L01,waiting,Track,None,-9,1609423727453.636,1609423727453.636
Z3-L11,waiting,Track,None,-9,1609423727453.6406,1609423727453.6406
Z4-L11,ok,Track,192.168.123.185,-9,1609423727453.6445,1609423727453.6445
Z2-L04,ok,Track,192.168.123.190,-9,1609423727453.648,1609423727453.648
Z2-L05,ok,Track,192.168.123.204,-9,1609423727453.6514,1609423727453.6514
Z4-L06,waiting,Track,None,-9,1609423727453.655,1609423727453.655
Z3-L12,ok,Track,192.168.123.193,-9,1609423727453.6587,1609423727453.6587
