Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,1608558965793.3445,1608558965793.3445
Z4-L08,ok,Track,192.168.123.154,-9,1608558965793.3577,1608558965793.3577
Z2-L08,ok,Track,192.168.123.156,-9,1608558965793.3616,1608558965793.3616
Z1-L13,ok,Track,192.168.123.165,-9,1608558965793.3652,1608558965793.3652
Z1-L05,ok,Track,192.168.123.152,-9,1608558965793.3694,1608558965793.3694
Z3-L09,ok,Track,192.168.123.173,-9,1608558965793.3726,1608558965793.3726
Z3-L10,ok,Track,192.168.123.225,-9,1608558965793.376,1608558965793.376
Z4-L03,waiting,Track,None,-9,1608558965793.3796,1608558965793.3796
Z4-L07,ok,Track,192.168.123.178,-9,1608558965793.3848,1608558965793.3848
Z1-L12,ok,Track,192.168.123.237,-9,1608558965793.3882,1608558965793.3882
Z1-L10,waiting,Track,None,-9,1608558965793.3916,1608558965793.3916
Z1-L04,ok,Track,192.168.123.176,-9,1608558965793.3953,1608558965793.3953
Z4-L05,waiting,Track,None,-9,1608558965793.3987,1608558965793.3987
Z4-L04,waiting,Track,None,-9,1608558965793.402,1608558965793.402
Z4-L01,waiting,Track,None,-9,1608558965793.4058,1608558965793.4058
Z1-L03,ok,Track,192.168.123.163,-9,1608558965793.4094,1608558965793.4094
Z1-L01,ok,Track,192.168.123.198,-9,1608558965793.4126,1608558965793.4126
Z1-L07,ok,Track,192.168.123.181,-9,1608558965793.416,1608558965793.416
Z1-L08,ok,Track,192.168.123.189,-9,1608558965793.4194,1608558965793.4194
Z3-L03,ok,Track,192.168.123.167,-9,1608558965793.4226,1608558965793.4226
Z3-L04,ok,Track,192.168.123.212,-9,1608558965793.426,1608558965793.426
Z2-L03,ok,Track,192.168.123.196,-9,1608558965793.429,1608558965793.429
Z1-L11,ok,Track,192.168.123.184,-9,1608558965793.4321,1608558965793.4321
Z3-L02,ok,Track,192.168.123.161,-9,1608558965793.4358,1608558965793.4358
Z2-L06,ok,Track,192.168.123.245,-9,1608558965793.4392,1608558965793.4392
Z1-L02,ok,Track,192.168.123.201,-9,1608558965793.4424,1608558965793.4424
Z2-L07,ok,Track,192.168.123.230,-9,1608558965793.4458,1608558965793.4458
Z4-L02,waiting,Track,None,-9,1608558965793.4492,1608558965793.4492
Z3-L01,ok,Track,192.168.123.228,-9,1608558965793.4526,1608558965793.4526
Z1-L09,ok,Track,192.168.123.191,-9,1608558965793.456,1608558965793.456
Z2-L09,ok,Moved,192.168.123.221,-9,1608558965793.4595,1608558965793.4595
Z2-L02,ok,Track,192.168.123.215,-9,1608558965793.4626,1608558965793.4626
Z4-L09,ok,Track,192.168.123.168,-9,1608558965793.466,1608558965793.466
Z1-L14,ok,Track,192.168.123.227,-9,1608558965793.4695,1608558965793.4695
Z2-L01,waiting,Track,None,-9,1608558965793.4727,1608558965793.4727
Z3-L11,waiting,Track,None,-9,1608558965793.4775,1608558965793.4775
Z4-L11,ok,Track,192.168.123.185,-9,1608558965793.4812,1608558965793.4812
Z2-L04,ok,Track,192.168.123.190,-9,1608558965793.4844,1608558965793.4844
Z2-L05,ok,Track,192.168.123.204,-9,1608558965793.488,1608558965793.488
Z4-L06,waiting,Track,None,-9,1608558965793.4912,1608558965793.4912
Z3-L12,ok,Track,192.168.123.193,-9,1608558965793.4946,1608558965793.4946
